trail_name,user_name
Gold Bar Rim,Stars                   Average: 4.1                     Larry Clinton                     O Nasty                     Grady Hardy                     Victor Rodriguez                     Andres Fernandez                     Stephan Alm                     Patrick Burns                     Austin Savage                     Mason Harless                     Chuck McQuade                     Mike Henrie                     F Felix                     Josh Smith                     Amy Swanson                     Court Fetter                     Greg Stahl                     M M                     Follow My Lines                     Spacey Hall                     Casey Vavrina                     Oliver C                     Jim Harris                     Michael Sobol                     Rick Vermeil                     Ry Zy                     James Old                     David Glover                     Brian Smith                     Chris Harris                     Bianca Sciarretta                     Matt Hines                     David Darling                     Andrew Nunn                     Chris Bingley                     Patrick Traylor                     Jake Si                     Michael Ahnemann
Chisholm Trail,Stars                   Average: 4.1                     monica kolstad                     Owen Donnelly                     Kona Pusher                     Morgan Whaley                     Robert Wade                     Val Ellwein                     Zach Lentz                     Mike Dale                     Dan 60D5H411                     Bikeheidi Bikeheidi                     Tim McCabe                     Bill Sullivan                     Amanda Schwartz                     NX CX                     Chuck McQuade                     Tom Dancs                     Mack Przewozny                     Robert Stephenson                     Dan Hart                     sean mccon                     Brendan Edwards                     Gary Hauser                     Pete Edmondson                     John Borstelmann 1                     David Filbey                     Chris Root                     Kurt Knuth                     D Mckeever                     Claude Guay                     Patti Mac                     Kelly Brooks                     Vallarie Sinclair                     Rem Wyatt                     David Darling                     Ken DeRose                     Roscoe Herndon                     Daniel Christianson
Levitate Downhill,Stars                   Average: 4.6                     Michael Corbin                     mattjbudd Budd                     Sam Greenhalgh                     Jake Barney                     Jake Si                     Robert Stephenson                     Morgan Ryan-Angel                     Cameron Swenson                     Tim McCabe                     Preston Harmon                     Trevor Hanson                     Grant Dexter                     Noah Airmet                     S B                     Salem Benjamin                     Mahonry Gustavo                     Jason Burby                     Rob NELSON                     Brandon Rogers                     Allan Johnson                     Alonso Topete                     Tom Fulton                     Michel Bernier                     Garrett Carter                     David Laggis                     Brandon Russell                     Alex L.                     Kyle Hierlmeier                     Scott Sudweeks
West Loop,Stars                   Average: 4.9                     Drew Urry                     Caleb Miller                     Dan Kopf                     Matt Lane                     Ascanio Pignatelli                     Randy James                     Raúl Gross                     Duane Hyde                     Frank Selker                     Jakemchargue                     Allan Johnson                     Dan C                     Chris Spargen                     John Connolly                     Tyson Clay                     Nate Hunter                     J R                     Dallan Forsyth                     Josh Brown                     Sean Hawes                     Shelley Lutz
Big Lonely,"Stars                   Average: 4.0                     Thomas Checkley                     Chad Cook                     Michael Martori                     C. Seaton                     akscrambler                     Zach Lentz                     Dan 60D5H411                     Tim McCabe                     Jonathan Rover                     Nick Wilder                     Tom Dancs                     Robert Brown                     M C                     Marie-Eve Lepine                     Gary Hauser                     Gosia Lieske                     Tom Millhoff                     Bubba Jones                     Jay Holsten                     D B                     Follow My Lines                     Patrick Pilkington                     A Estrada                     Patti Mac                     ChadClimb                     Dan T.                     Dustin Eells                     Sarah Horen                     Pablo Cortez                     Ry Zy                     Gregg Smith                     David Darling                     Roscoe Herndon                     Mark Mastalski                     Jeff Gauvin                     Daniel Christianson                     Amy White                     Carlos Aguirre                     Ed Pfromer                     Hunter Maddox                     Scotty ""Chaco"" Vinas"
Mega Steps,Stars                   Average: 4.1                     Dave Smith                     Celeste Cannon                     akscrambler                     Mack Przewozny                     Matt Castelli                     Tim McCabe                     Evan Christensen                     David Hall                     AKA Surfer                     Nathan Gregory                     Ben Warburton                     Brendan Edwards                     Papa Todd                     Rick Powelson                     Follow My Lines                     Aaron Gemmell                     Patrick Pilkington                     A Estrada                     Clark Sperry                     kol medina                     Christopher Taylor                     Evan Ely                     Will Bradford                     Joshua Shockley                     Jake Shirley                     Rachel Silverstone                     Justin Pingatore                     Lee Forberg                     Blake Bandy                     Jamie Blackburn                     David Darling                     Clint Koehler                     Jeff Gauvin                     Michael Martori                     John Connolly                     Chip Loomis                     Nick Wilder
Armstrong,Stars                   Average: 4.3                     Cat Sales                     Andrew Ozmun                     Paul DenBoer                     Ascanio Pignatelli                     Brian Bassett                     Brandon Tuttle                     Holly Godsey                     Kenny Davis                     akscrambler                     Paul Mikle                     Russell Ochoa                     Hayley Kemp                     John Gipson                     Carina Claassen                     eric clark                     Lost Justpastnowhere                     Mike Mertz                     Chris Sarot                     tharlow harlow                     Dave Grossman                     Dan T.                     Wesley LeFevre                     Brian Fredricksen                     Taylor Hoynacki                     Alex Kirkpatrick                     Danny Bradley                     Allen Tanner                     Paul Lowe                     Mike Childers                     John Connolly                     Matt Hage                     Leslie Kehmeier
Mustang Loop,Stars                   Average: 4.3                     Kona Pusher                     Zak L                     Steve Baker                     Alaina Fister                     F Felix                     Morgan Whaley                     Mariel Velano                     David Lamb                     Jenny Montague                     Kyle Schafer                     Tim McCabe                     Gary Hauser                     Jeff Beard                     Ronnie Dale                     Steven McIntosh                     Jennifer Ryan                     Amy Swanson                     Tom Dancs                     Ken DeRose                     Jen Grimes                     Jason Zerbe                     Mack Przewozny                     Raúl Gross                     John Borstelmann 1                     Chris Root                     Sheri Mounteer                     Bruno Lutz                     Rachel Silverstone                     Claude Guay                     Adam Drake                     Jennifer Atwood                     David Darling                     Daniel Christianson
Rockin' A,Stars                   Average: 3.9                     Lost Justpastnowhere                     D Bauman                     Morgan Whaley                     Robert Schmitt                     TJ Paulson                     Mack Przewozny                     Robert Peterson                     Emily Erin                     Douglas Edmundson                     Estuardo Montero                     Papa Todd                     David Hall                     Andrew Mahn                     koji suto                     Melissa McMurphy                     M C                     Linda Lee                     Peter Lacoste                     Ivan Piñon                     Drew W.                     Martin Palkovic                     Markus Groner                     Bryce Engen                     Clark Sperry                     Makenzie Mueller                     Christopher Taylor                     Josh C                     Dustin Eells                     Yann Holger Leyer                     Todd Van Selus                     Michael Turner                     David Darling                     Tyler Smith                     Eric Sorte                     theiner Heiner                     Rick Powelson                     Jon Jenkins                     Ed D                     Brittney Worthen                     Kevin Christopherson                     Blaze Panariso
Barrel Roll,Stars                   Average: 4.1                     Brian Bassett                     Zach Shoemaker                     Matt Lane                     Ben Gillie                     Raúl Gross                     Chris Bondurant                     Matthew Guerin                     Chase L                     Dave Pearson                     Chris Hall                     Carson Greenhalgh                     Jarett Gardner                     Laine McNeil                     Chillimac McCune                     Bryan Smith                     Holly Godsey                     Jeffrey B                     Kathy MG                     Trevor Brimley                     Bryan Jensen                     Riley Rollins 1                     Greg Rakozy                     Daaave                     Aaron Zueck                     Parker Stocking                     Mike Streed                     J R                     Jen Tillman                     Mike S                     Jacob Crockett                     E Milne                     Ellie Avant                     Sean Hawes                     Braden Bentson                     Alex Peterson                     Kyler Albrechtsen                     Kevin Christopherson
Western Rim,Stars                   Average: 4.7                     AOSR                     Chip Loomis                     Jeff Sowers                     Marc Ricchiute                     Paul Billings                     Melissa Whyman                     Josh Hofmann                     Alejandro Cazar                     Sam Daniels                     Tony Fagan                     David Darling                     Jake Si                     TS TS                     Karim Bekka                     Rustin Reese                     Chris Trudeau                     Zach Allen                     Andrew McAfee                     Ethan Meginnes                     D L                     Joe Cosgrove                     Nick Wilder
Pinecone,Stars                   Average: 4.7                     Wyeth Thomas                     Joe Kambeitz                     Ascanio Pignatelli                     Jeff Chm                     Jaeson Galli                     akscrambler                     Brice Corcoran                     Sidney Durant                     Carina Claassen                     Austin Davis                     Jacob Crockett                     Valerie Huitzil                     Forrest Gladding                     atfarley farley                     ben schmidt                     boise biker                     robby miller                     Mike Childers                     Dane Bendixen                     boosti sorenson                     Ken Smith                     John Connolly                     Leslie Kehmeier
Paradise Rim Trail,Stars                   Average: 4.4                     Dean Gialamas                     Corey Pedersen                     Bryan Smith                     Matt Lane                     Abram Ullrich                     Tim Knox                     Raúl Gross                     Joshua Kalil                     Steve Baker                     Travis Millward                     Daniel Bowler                     Tyson Clay                     Carson Greenhalgh                     Bryan Hansen                     Troy Benallie                     Markk Knowles                     Chris Brosious                     J R                     edward pinskey                     J.d. Holt                     Jesse Jorgensen                     Tylar Laity                     Neal Evers                     Josue Reyes                     Erich GLeckler                     E Milne                     Tyler Nash                     John Lincoln                     Jared Berrett
Barrel Trail,Stars                   Average: 4.4                     Dan Freeman                     Larry Clinton                     AMANDA MELESSA                     Cheston Bogue                     Matt Lane                     Kasey Pemrod                     Jimmy Joe                     Jack Jenkins                     Abram Ullrich                     Adam Mattessich                     Raúl Gross                     Kyle Foster                     Josh Williams                     Levi Meachum                     Marion Wohlrab                     Spencer Bell                     Troy Benallie                     Jarett Gardner                     Steven Stucki                     Aaron Zueck                     Allan Johnson                     J R                     J.d. Holt                     Chris Spargen                     Jason Van Horn                     Jacob Crockett                     Nolan Sundrud
Sidewinder,Stars                   Average: 4.4                     Matt Lane                     Michael Martori                     Raúl Gross                     Travis Jewett                     Duane Hyde                     Matthew Guerin                     Chase L                     Roscoe Allen                     Dustin Anderson                     Skylar Stubbs                     edward pinskey                     Jacob Crockett                     JesseTremaine Tremaine                     Aaron Prado                     Mike Streed                     Justin VanAlstyne                     Christian Villalta                     J R                     Lynne Wolfe                     Gregg Smith                     Mike S                     MIKEL AUCUTT                     Newt Adams                     Rob Garneau                     Blazer Burton                     Markk Knowles                     Eric Foltz                     Kyler Albrechtsen                     Kevin Christopherson
Maple Hollow Downhill Trail,Stars                   Average: 4.5                     Paul Mills                     Nicholas Munoz                     Leo Wowo                     Sam Broman                     Andrew Graham                     Jake Si                     Preston Harmon                     Marcos Funes                     Eric Gonzalez                     Noah Airmet                     Ben Snyder                     Allan Johnson                     Austin Phillips                     Tom Fulton                     Sky G                     Christian Myers                     Alex L.                     Matt Kennedy                     Carson Rappleye                     Brett Jerman                     Alonso Topete                     Garrett Fromm                     matt barrus                     Braden Bentson                     Jessica Bonham                     Alex Kirkpatrick
Slickrock Trail,Stars                   Average: 4.5                     Emily Schmid                     Tim Heid                     Ben Anderson                     Liam Taylor                     C. Seaton                     David Montgomery                     Simon Doemer                     Roberto Miranda                     JD Dawson                     Ascanio Pignatelli                     Josh Brown                     Mitchell Plath                     Mike Fierros                     Leah Dolan-Kelley                     Sterling Watson                     Kristen Arendt                     Jared Trouillot                     Mack Przewozny                     Jeffrey Babbidge                     Jnani Weibel                     Kayleen Castelli                     Joel Maier                     Mark Widder                     J Bombs                     Nick Wilder
Mill Creek Pipeline,Stars                   Average: 3.6                     Spencer Wood                     Marc Sternfield                     Shubham Verma                     JD Dawson                     Jennifer Lyons                     Jonathan Amburgey                     Michael Corbin                     Justin Landon                     Rob Brown                     Mark Hauber                     Wilderness Explorer                     Austin Winegar                     Travis Millward                     Brady Randall                     MR Hall                     Dave Rader                     Nathan Gregory                     Byron Beasley                     Mario Quezada                     Adam Knutson                     Aaron Anderstrom                     Haily Gebauer                     Mike Larson                     Sean Ryan                     Jon Fabiszak                     Adam Wagner                     Nick Hepler                     Porter Templin                     Jace Hirschi                     Sam Orchard                     Paul Pearson                     Dan T.                     Danny Bradley                     atfarley farley                     Jenn Krogue                     Andrew McAfee                     Ethan Meginnes                     matt barrus                     John Connolly                     Kerry Peterson                     Justin Johnson
Secret Sauce,Stars                   Average: 4.1                     Morgan Payne                     Drew Urry                     Greg and Heidi Nielsen                     David Sam                     Johnny Heppler                     Matt Lane                     Nate Lewis                     Raúl Gross                     Matthew Knowlden                     Brian Deck                     Duane Hyde                     Ryan Gan                     Joey Hambuchen                     S Drake                     Karter Schenck                     Kyle Gray                     Alan Corcoran                     Krista White                     Carson Greenhalgh                     Kay Waters                     Haley Lane                     Matt Lovell                     iuri Melo                     Kathy MG                     Scott Allen                     J.d. Holt                     Aaron Brickey                     Zach Holt                     Casey Madrid                     Sam Chapman                     J R
Coney Island,Stars                   Average: 3.9                     Owen Donnelly                     Chad Cook                     Will Lawson                     Michael Martori                     C. Seaton                     jboulder Boulder                     Zach Lentz                     Dan 60D5H411                     Jonathan Rover                     Jason Anderson                     Nick Wilder                     Tom Dancs                     Bret Edge                     Robert Brown                     M C                     Mack Przewozny                     Rock Nams                     Brendan Edwards                     Marie-Eve Lepine                     Gary Hauser                     Gosia Lieske                     Bubba Jones                     Jay Holsten                     Rick Stockreef                     Patrick Pilkington                     A Estrada                     Dan T.                     Jake J                     Dustin Eells                     Pablo Cortez                     Max Jones                     Ry Zy                     Gregg Smith                     David Darling                     Mark Mastalski                     Jeff Gauvin                     Daniel Christianson
Bartlett Wash Slickrock,Stars                   Average: 4.4                     Justin DeZurik                     Jeff Beard                     Markus J                     neariah gil                     Steffen Hauschild                     Aja Mooney                     Austin Jurgensmeyer                     Follow My Lines                     Jack Crutchfield                     Jason Cross                     Kevin Flinn                     Rob Urban                     Brian Coven                     RC LeFevre                     Dylan Orton                     Nate Hills                     Mike Harris                     Greg Weiss                     Jeremiah Thomas                     Chip Loomis                     Alex Waterworth                     Porscha Doucette                     Greg Lehmann                     Colin McCreight                     Curtis Tripp
EZ,Stars                   Average: 4.1                     Ashley Miller                     TJ Paulson                     Josh Brown                     Tess Goodman                     Gary Hauser                     Ryan Hickman                     Caleb Huettenmeyer                     Patrick Burns                     Ryan Duclos                     Linda Lee                     Drew W.                     Martin Palkovic                     Holly Godsey                     Frank Klein                     Josh C                     Rachel Silverstone                     Jarrett Humphress                     Lee Forberg                     Kacy Carmichael                     Robert Bristol                     adam cornely                     Michael Turner                     David Darling                     Roscoe Herndon                     Tyler Smith                     Dustin Eells                     Gosia Lieske                     Pat Grewe                     Quinn Donnelly                     Rick Powelson                     Martini Linn                     Ken Smith                     Curtis Tripp
North Rim Trail,Stars                   Average: 4.5                     Matt Chamberlain                     Larry Clinton                     MR Hall                     Matt Lane                     David Crane                     Scott Payne                     Ben Glover                     Troy Benallie                     MATT FALKENSTEIN                     Lost Justpastnowhere                     J R                     Jason Dezort                     Bianca Sciarretta                     Bryan Smith                     Chris Harrison                     John Connolly                     Steffen Hauschild                     Roscoe Herndon                     Ed D                     Alex Fore                     Rocky Tello                     Kevin Fox                     Adam Kagy                     Kevin Christopherson
Hidden Canyon,Stars                   Average: 4.7                     Eric Munsing                     Matt Chamberlain                     Matt Lane                     Ascanio Pignatelli                     Kyle Erickson                     Frank Selker                     J R                     Wes P                     MATT FALKENSTEIN                     Greg Stahl                     Chris Lesser                     Dan Kopf                     Bryan Smith                     Bianca Sciarretta                     Alex Fore                     Jake Si                     John Connolly                     naytlo Lowe                     Kevin Christopherson
Great Pyramid,Stars                   Average: 4.5                     Stephanie Striefel                     Gerald Wing                     Lost Justpastnowhere                     John Leyboure                     Jess Wilson                     Ben Anderson                     Raúl Gross                     Johnnie Hawkins                     Linda Lee                     Gary Hauser                     Salem Benjamin                     Carolyn Reisz                     Kathya Chacon                     Richard Geisler                     Pablo Cortez                     Gregg Smith                     Kirkwood Donavin                     David Darling                     Alex Kirkpatrick                     Eric Nelson                     Roscoe Herndon                     Pat Grewe                     John Connolly                     Nick Wilder
Sidewinder,Stars                   Average: 4.1                     Andy Summers                     Emerson Takahashi                     Eric Trandai                     Robert Peterson                     Thomas Williams                     Kristin Neibling                     Douglas Edmundson                     Tim Selby                     Tim McCabe                     Brian Verhougstraete                     Ryan Duclos                     Tom Dancs                     TJ B                     Brittani Neely                     Mack Przewozny                     David S                     Dick Nobbs                     Greg R                     Salem Benjamin                     Josh C                     Willister Mitchell                     Yann Holger Leyer                     Bret Edge                     Brendan George                     Chris Craft                     Roscoe Herndon                     Pat Grewe                     Oliver C                     Jon Jenkins                     Ryan Hickman
Brim Trail,Stars                   Average: 4.4                     Spencer C                     Daane H                     Ashley G                     Matt Egan                     Alexis Grun                     Corey Jordan                     Colin Lacy                     Karlie Mitchell                     Spencer Griffin                     Justin Whitaker                     Robby Gledhill                     Linda Lee                     Sarah Cole                     Alex Vaterlaus                     Byron Beasley                     Ryan Palmer                     Jared Berrett                     Kris Reader                     Edward-Bam Lopez                     Zachary Pinnau                     Paul Taylor                     Don Woodford                     Mike Trent
Bowls and Ledges,Stars                   Average: 4.6                     Matt Chamberlain                     Larry Clinton                     batrachoseps                     Matt Lane                     Beau Trivers                     Shannon Roepe                     Raúl Gross                     Kyle Erickson                     Ben Glover                     Bobby Brown                     Steffen Hauschild                     John Connolly                     J R                     Bryan Smith                     Eric Deivernois                     Rocky Tello                     Kevin Fox                     Adam Kagy                     Markk Knowles                     Kevin Christopherson
Pothole Arch,Stars                   Average: 4.2                     Matt Castelli                     Tim McCabe                     Bubba Jones                     Frank Selker                     Rachel Silverstone                     Dave Reed                     Pascal Nobecourt                     Will Bradford                     Bianca Sciarretta                     David Darling                     Trevor Burden                     Mark Mastalski                     tourjee Tourjee                     Jake Si                     Steffen Hauschild                     John Connolly                     Adam McGowen                     Michael Martori                     Zachary Miller                     Will Stingley                     Chip Loomis                     Alex Fore                     F Felix                     Danny Inman                     Greg Lehmann                     Matt Thoele
Blowhard Trail #32047,Stars                   Average: 4.8                     Chris McCleary                     Erich Toll                     Ascanio Pignatelli                     Hector Ortiz                     Troy Benallie                     Rob Brown                     Terry Tidwell                     Tyson Clay                     Dustin Anderson                     brady scott                     Josh Brown                     David Darling                     Markk Knowles
Whirlwind Loop,Stars                   Average: 4.5                     Kona Pusher                     Zak L                     Steve Baker                     F Felix                     Morgan Whaley                     Mariel Velano                     Kyle Schafer                     Tim McCabe                     Steven McIntosh                     Jennifer Ryan                     Amy Swanson                     Ken DeRose                     Jason Zerbe                     Gary Hauser                     Raúl Gross                     John Borstelmann 1                     Chris Root                     Claude Guay                     Adam Drake                     David Darling                     Daniel Christianson
Pushing Tin Loop,Stars                   Average: 4.0                     Drew Urry                     David Sam                     Matt Lane                     Jeremy Taggart                     Raúl Gross                     Nolan Sundrud                     David Daily                     Duane Hyde                     Sam Cook                     Joey Hambuchen                     Karter Schenck                     Josh Williams                     JR Bell                     D Bo                     Matt Dykstra                     Kay Waters                     Mike Stroud                     Matt Lovell                     Skylar Stubbs                     Scott Allen                     J.d. Holt                     Aaron Brickey                     Zach Holt                     David Calder                     Sam Chapman                     Rob Duke                     Tom Nisson                     Asa King                     J R                     Brigitte Flanagan
7-Up,Stars                   Average: 3.6                     Matt Castelli                     C. Seaton                     Chad Cook                     Alaina Fister                     F Felix                     Greg Tsuda                     Morgan Whaley                     Tom Dancs                     Ed Pfromer                     Rob Gaffney                     Stephen Griffiths                     Dea Nea                     Steven McIntosh                     Mack Przewozny                     Brendan Edwards                     Tom Millhoff                     Kelly Brooks                     Raúl Gross                     Andrea Helmig                     Jay Holsten                     Mike Anderson                     John Connolly                     Alex Bate                     Dustin Eells                     Rachel Silverstone                     Tabby Carroll                     Mark Flinn                     Kevin Flinn                     Tony Fagan                     David Darling                     Trevor Burden                     Jason Koenig                     Chris Bingley                     Ethan Meginnes                     Garry Baker                     Nick Wilder                     fabrizio Giorgetta
Burro Pass Trail #315,Stars                   Average: 4.8                     J Williamson                     Liam Taylor                     Jonny Charp                     Brian Smith                     Casey Vavrina                     Jake J                     D.j. Carder                     Garrett Fromm                     Alex Fore                     John Connolly                     F Felix                     Adam Kagy
Claim Jumper Loop,Stars                   Average: 4.4                     Drew Urry                     Greg and Heidi Nielsen                     David Sam                     Johnny Heppler                     Ben Norman                     Matt Lane                     Nate Lewis                     Raúl Gross                     Brian Deck                     Ryan Gan                     S Drake                     Josh Williams                     Krista White                     Stuart Wright                     Preston Smith                     Carson Greenhalgh                     Kay Waters                     Mike Stroud                     Matt Lovell                     Skylar Stubbs                     Cha Tate
Greens Lake Trail,Stars                   Average: 4.7                     John Ritter                     J R                     Ascanio Pignatelli                     Joey Hambuchen                     Anakin Barrick                     David Gates                     Troy Benallie                     Mtbbetty Pedalmasher                     Tyson Clay                     Weston Gleave                     Christian Boswell                     Mark Jolley                     Katie C                     Ben Kirkby                     Bob Havens
Redhot,Stars                   Average: 4.3                     Joshua Pearson                     Connor Parish                     Dan 60D5H411                     Bastien Pz                     Joel Maier                     Tim K                     Katie Oliver                     Patrick Burns                     Zach Raney                     Tom Dancs                     Brendan Edwards                     Taylor Hoynacki                     Matt Karwoski                     Casey Vavrina                     Dustin Eells                     Rachel Silverstone                     John Mcilmoil                     Schuyler Crippen                     Raúl Gross                     Jeff Ruhle                     Eric Pinkerton                     Mike Gordon                     Jason Wells                     Wendy Sweet
UFO,Stars                   Average: 4.4                     Dave Smith                     Celeste Cannon                     Nathan Gregory                     Alexandra Thurston                     Jeffrey Baun                     Aaron Gemmell                     A Estrada                     Evan Ely                     Jake Shirley                     David Hendricks                     Ray Benton                     Will Bradford                     David Darling                     Jeff Gauvin                     D L                     John Connolly                     Matt Sands                     Chip Loomis                     George Squibb                     Megan W                     Nick Wilder
Arth's Corner,Stars                   Average: 4.1                     Tim McCabe                     Samuel M                     Lost Justpastnowhere                     Rick Eisenberg                     Morgan Whaley                     Jonathan Rover                     Josh Smith                     M C                     Brendan Edwards                     Brittani Neely                     Skyler Holman                     Dan T.                     Dustin Eells                     Clay Johnson                     Rick Vermeil                     RC LeFevre                     UnWise Owl                     Sergey Tsibel                     David Darling                     Bianca Sciarretta                     Shelly Hunert                     Ken DeRose                     John Connolly                     Michael Martori                     big cat                     Leslie Kehmeier
Ann's Trail,Stars                   Average: 3.9                     James Gardner                     Ben Anderson                     Michael Morgan                     Rich Harkness                     Marc Sternfield                     JD Dawson                     Jacob Jackson                     Mark Hauber                     Daniel Kryger                     MischaLevine                     Brian Kruse                     Eric Gonzalez                     Nathan Gregory                     Maggie Mcandrews                     Don Woodford                     Lacey Wilder                     Holly Godsey                     Tyler Bastian                     Christian Myers                     Mark Michaels                     Paul Jewkes                     Skyler Fredrickson                     Garrett Fromm                     Braden Bentson                     Danny Bradley                     Alex Kirkpatrick                     atfarley farley                     John Connolly                     matt barrus
Homer,Stars                   Average: 4.3                     Celeste Cannon                     akscrambler                     Mack Przewozny                     Tim McCabe                     Michael Bobbe                     Brendan Edwards                     Nick Wilder                     Mike Anderson                     Follow My Lines                     kol medina                     Josh Tetreault                     Joshua Shockley                     Rachel Silverstone                     Blake Bandy                     Roscoe Herndon                     David Darling                     Jeff Gauvin                     Ethan Meginnes                     John Connolly                     George Squibb                     Z. S.
Jackson,Stars                   Average: 4.2                     Larry Clinton                     Sir BikesALot                     Josh Brown                     Tim McCabe                     Michael McFly                     Chris Ferraro                     Jaymes Baassiri                     Themore Weex                     Bo Pham                     Corey Kugler                     Brian Smith                     Will Stingley                     M M                     Bianca Sciarretta                     David Darling                     Ry Zy                     Clark Sperry                     John Connolly                     Michael Martori                     San Juanderer                     F Felix                     Nick Wilder
J-Boy,Stars                   Average: 4.8                     burnindaylight Davis                     Tim McCabe                     Raúl Gross                     The Shpeal                     Paul Jewkes                     Kyle F.                     Aaron Roe                     Chris Ho                     Chris Hendrickson                     Colby DeCamp                     Leslie Kehmeier
Kentucky Lucky Chicken,Stars                   Average: 4.1                     Jeff McKenna                     Jackson Glathar                     Nolan Sundrud                     Superfly Snook                     Matt Lane                     Nate Lewis                     Raúl Gross                     John Waven                     Travis Jewett                     Josh Reber                     Bryan Hansen                     Kathy Van Dewoestine                     Riley Rollins 1                     Dan Davie                     Tyler Bastian                     Jacob Crockett                     Themore Weex                     Wil Clifford                     Josh Brown                     Ryan Gilger                     Ralph Murdock                     Alexander Umholtz                     Jared Caldwell                     Moose Knuckler
Whiptail,Stars                   Average: 4.8                     Lost Justpastnowhere                     Ben Anderson                     Raúl Gross                     wimolrat Tangtiphongkul                     Gary Hauser                     Salem Benjamin                     Pablo Cortez                     Gregg Smith                     David Darling                     Alex Kirkpatrick                     John Connolly                     Nick Wilder
Tidal Wave,Stars                   Average: 5.0                     Jake Si                     Eric Jenson                     Connor Parish                     Alex Prak                     Rick Powelson                     Jared Crockett
Jimmy Keen,Stars                   Average: 2.9                     lukasz drogowski                     Timmy Ritchie                     jean philippe iborra                     Peter Rose                     Phil Harrison                     Pete Edmondson                     butter ball                     Andres Fernandez                     Nalu .                     Crazybear Cousineau                     Raúl Gross                     Ryan Ulch                     Jason Bertolacci                     NickinCO                     Mark Miller                     Brian Fox                     Rachel Silverstone                     San Juanderer                     Mike Redleg                     Tracy Crowell                     Kristi Olson                     David Woods                     Jared Berrett                     Blake Blattert                     je fe                     skandl Kandl                     Libby Felts                     Nick Przybysz                     Jeff B                     Drew Lints                     Shane Wright                     Creed Smith                     Andy Nelson                     Harris Clarke                     Doug Carter                     Nate Millard                     Stu Barnes                     Darren Openshaw                     Robert Mitchell                     Phillip Wood                     Dave Harrold                     Will Allen                     Jon Wohlers                     Chip Loomis                     Ethan Meginnes                     Alexandre Deschamps                     Chris Wandervans
EKG,Stars                   Average: 3.7                     Celeste Cannon                     Elle Fuqua Gregory                     Raúl Gross                     Jonny Charp                     Heather Z                     Chuck McQuade                     Elijah Flenner                     Ben Warburton                     Brendan Edwards                     Joseph S                     Josh Sharp                     A Estrada                     Christopher Taylor                     Joe Tank                     Will Bradford                     Nate Hellwarth                     Ben Fischler                     chris allen                     gabe keyte                     Tony Fagan                     Clint Koehler                     Daniel Christianson                     Jeff Gauvin                     Jamie Umbras                     Kris Kilton                     Steffen Hauschild                     Ed Pfromer                     D L                     Michael Martori                     Chip Loomis                     Jeff Ruhle                     Nick Wilder
