trail_name,length,difficulty,trail_link,city,popularity,rating,local_club,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
trw trail,2.0,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7022869/trw-trail,Fountain Hills,0.9602094240837696,4.5,USFS - Tonto National Forest Office,76.0,161.0,2.0,6.0,1508.0,1362.0,Unknown,Unknown
upper 50-year trail,1.0,DIFFICULT,https://www.mtbproject.com/trail/7017453/upper-50-year-trail,Catalina,0.9591623036649215,4.8,Sonoran Desert Mountain Bicyclists,90.0,308.0,7.0,24.0,3611.0,3320.0,Off-leash,Unknown
la milagrosa,4.4,DIFFICULT,https://www.mtbproject.com/trail/306975/la-milagrosa,Tanque Verde,0.9581151832460733,4.3,Tucson Off Road Cyclists & Activists (TORCA),213.0,1381.0,7.0,23.0,4029.0,2809.0,Leashed,Not Allowed
baldwin loop,2.1,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/600453/baldwin-loop,West Sedona,0.9570680628272251,3.8,Verde Valley Cyclists Coalition,245.0,236.0,4.0,16.0,4126.0,3959.0,Unknown,Unknown
badlands trail,6.7,INTERMEDIATE,https://www.mtbproject.com/trail/7007557/badlands-trail,Catalina,0.956020942408377,4.4,,318.0,307.0,2.0,6.0,3736.0,3546.0,Unknown,Unknown
south loop,3.4,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7041928/south-loop,Mescal,0.9549738219895287,4.4,,188.0,249.0,2.0,7.0,3887.0,3764.0,No Dogs,Unknown
horton creek trail,3.5,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7017424/horton-creek-trail,Star Valley,0.9539267015706806,5.0,,1214.0,9.0,7.0,29.0,6646.0,5436.0,Off-leash,Unknown
granite mountain loop trail,4.6,INTERMEDIATE,https://www.mtbproject.com/trail/7012695/granite-mountain-loop-trail,Rio Verde,0.9528795811518325,4.5,City of Scottsdale,356.0,305.0,3.0,8.0,2935.0,2670.0,Unknown,Not Allowed
made in the shade,1.3,DIFFICULT,https://www.mtbproject.com/trail/4932620/made-in-the-shade,Village of Oak Creek (Big Park),0.9518324607329843,3.8,Verde Valley Cyclists Coalition,166.0,305.0,7.0,18.0,4540.0,4259.0,Unknown,Unknown
goldwater lakes trail #396,4.6,INTERMEDIATE,https://www.mtbproject.com/trail/4422817/goldwater-lakes-trail-396,Prescott,0.9507853403141361,4.1,Prescott Mountain Bike Alliance,872.0,338.0,5.0,12.0,6164.0,5630.0,Unknown,Unknown
firewater trail #325,1.1,INTERMEDIATE,https://www.mtbproject.com/trail/7018140/firewater-trail-325,Prescott,0.949738219895288,5.0,Prescott Mountain Bike Alliance,0.0,244.0,4.0,10.0,5911.0,5667.0,Unknown,Unknown
the chutes,1.4,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4743176/the-chutes,Catalina,0.9486910994764398,4.1,Sonoran Desert Mountain Bicyclists,160.0,163.0,4.0,9.0,3289.0,3127.0,Unknown,Unknown
bell rock trail,3.5,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/4915849/bell-rock-trail,Village of Oak Creek (Big Park),0.9476439790575917,3.5,Verde Valley Cyclists Coalition,200.0,297.0,3.0,6.0,4386.0,4173.0,Unknown,Unknown
secret trail,0.9,INTERMEDIATE,https://www.mtbproject.com/trail/3589571/secret-trail,Guadalupe,0.9465968586387434,4.4,City of Phoenix - Trails and Desert Preserves,21.0,97.0,3.0,7.0,1523.0,1431.0,Unknown,Allowed
ranch trail #62,9.5,INTERMEDIATE,https://www.mtbproject.com/trail/7000300/ranch-trail-62,Prescott,0.9455497382198953,4.7,Prescott Mountain Bike Alliance,592.0,1164.0,3.0,13.0,6556.0,5603.0,Unknown,Unknown
inner basin trail,1.7,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7000138/inner-basin-trail,Flagstaff,0.9445026178010472,5.0,Flagstaff Biking Organization,0.0,718.0,8.0,21.0,9373.0,8654.0,Unknown,Unknown
peavine trail,5.4,EASY,https://www.mtbproject.com/trail/7001406/peavine-trail,Prescott,0.9434554973821989,4.5,Prescott Mountain Bike Alliance,46.0,252.0,1.0,3.0,5204.0,4986.0,Leashed,Unknown
los burros shortcut,2.0,INTERMEDIATE,https://www.mtbproject.com/trail/7016114/los-burros-shortcut,Pinetop-Lakeside,0.9424083769633508,5.0,Pinetop-Lakeside TRACKS,47.0,356.0,4.0,17.0,8161.0,7851.0,Unknown,Unknown
cherum peak trail,2.6,DIFFICULT,https://www.mtbproject.com/trail/7014529/cherum-peak-trail,New Kingman-Butler,0.9413612565445026,5.0,,1100.0,169.0,9.0,26.0,6915.0,5858.0,Unknown,Allowed
#305 homestead trail,6.6,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4417144/305-homestead-trail,Prescott,0.9403141361256544,4.1,Prescott Mountain Bike Alliance,978.0,506.0,4.0,16.0,6056.0,5473.0,Unknown,Unknown
ocotillo trail,6.3,INTERMEDIATE,https://www.mtbproject.com/trail/7011741/ocotillo-trail,Cave Creek,0.9392670157068063,4.1,,448.0,322.0,2.0,10.0,1919.0,1701.0,Leashed,Unknown
javelina,1.3,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4920153/javelina,Sedona,0.9382198952879581,4.2,Verde Valley Cyclists Coalition,32.0,333.0,6.0,14.0,4542.0,4241.0,Unknown,Unknown
molino basin,2.5,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/305799/molino-basin,Tanque Verde,0.9371727748691099,4.0,Tucson Off Road Cyclists & Activists (TORCA),169.0,676.0,6.0,25.0,4913.0,4320.0,Unknown,Unknown
burro pit loop,2.4,INTERMEDIATE,https://www.mtbproject.com/trail/7056286/burro-pit-loop,Tanque Verde,0.9361256544502617,5.0,,66.0,98.0,1.0,7.0,2832.0,2801.0,Unknown,Not Allowed
ridge trail #59,1.9,INTERMEDIATE,https://www.mtbproject.com/trail/666198/ridge-trail-59,Fountain Hills,0.9350785340314136,4.4,USFS - Tonto National Forest Office,70.0,377.0,4.0,10.0,1739.0,1373.0,Unknown,Unknown
latigo trail,2.0,EASY,https://www.mtbproject.com/trail/7009162/latigo-trail,Carefree,0.9340314136125655,4.8,City of Scottsdale,107.0,133.0,2.0,7.0,2837.0,2706.0,Leashed,Not Allowed
quartz trail,1.4,INTERMEDIATE,https://www.mtbproject.com/trail/647570/quartz-trail,Cave Creek,0.9329842931937172,4.8,,70.0,299.0,5.0,9.0,2407.0,2114.0,Unknown,Allowed
soldier's trail,5.2,INTERMEDIATE,https://www.mtbproject.com/trail/7016899/soldiers-trail,Kachina Village,0.9319371727748691,3.8,Coconino County and the City of Flagstaff,306.0,310.0,2.0,8.0,7129.0,6955.0,Unknown,Unknown
badger trail,3.3,DIFFICULT,https://www.mtbproject.com/trail/926183/badger-trail,Golden Valley,0.930890052356021,4.7,Colorado River Area Trail Alliance,1042.0,4.0,6.0,11.0,4485.0,3446.0,Unknown,Unknown
dixie mountain loop,4.0,INTERMEDIATE,https://www.mtbproject.com/trail/4905656/dixie-mountain-loop,Anthem,0.9298429319371728,4.5,Cave Creek Bicycle Association,543.0,540.0,5.0,18.0,2047.0,1654.0,Leashed,Unknown
explorer trail,4.7,DIFFICULT,https://www.mtbproject.com/trail/6358612/explorer-trail,Drexel Heights,0.9287958115183246,4.0,Sonoran Desert Mountain Bicyclists,671.0,408.0,4.0,19.0,2968.0,2497.0,Unknown,Unknown
ridgeback trail,1.8,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/6425835/ridgeback-trail,Cave Creek,0.9277486910994764,4.6,Cave Creek Bicycle Association,278.0,329.0,6.0,21.0,2110.0,1812.0,Unknown,Unknown
sierra prieta trail #366,0.9,INTERMEDIATE,https://www.mtbproject.com/trail/7011265/sierra-prieta-trail-366,Prescott,0.9267015706806283,5.0,USFS - Prescott National Forest Office,52.0,170.0,5.0,13.0,7007.0,6837.0,Leashed,Unknown
hi top,1.1,DIFFICULT,https://www.mtbproject.com/trail/7025115/hi-top,Fortuna Foothills,0.9256544502617801,5.0,Desert Mountain Bikers of Yuma,84.0,56.0,2.0,10.0,527.0,473.0,Unknown,Unknown
naked man trail,0.6,INTERMEDIATE,https://www.mtbproject.com/trail/7015618/naked-man-trail,Lake Havasu City,0.9246073298429319,5.0,BLM Lake Havasu Field Office,38.0,56.0,3.0,6.0,852.0,798.0,Off-leash,Unknown
azt: segment 7 - antelope peak and boulders segment,43.9,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7025879/azt-segment-7-antelope-peak-and-boulders-segment,Oracle,0.9235602094240838,5.0,Arizona Trail Association,4450.0,5177.0,4.0,23.0,4211.0,2793.0,Leashed,Unknown
jordan trail,1.6,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4920426/jordan-trail,Sedona,0.9225130890052355,4.0,Verde Valley Cyclists Coalition,174.0,197.0,4.0,11.0,4583.0,4445.0,Unknown,Unknown
yuma bike path (colorado river levee multi-use path),8.6,EASY,https://www.mtbproject.com/trail/7053977/yuma-bike-path-colorado-river-levee-multi-use-path,Yuma,0.9214659685863874,5.0,,107.0,112.0,0.0,4.0,161.0,121.0,Leashed,Allowed
#9415 wolverton mountain trail,5.0,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4437869/9415-wolverton-mountain-trail,Prescott,0.9204188481675393,4.5,Prescott Mountain Bike Alliance,1117.0,235.0,5.0,14.0,6685.0,5620.0,Unknown,Unknown
donahue trail #27,0.7,INTERMEDIATE,https://www.mtbproject.com/trail/7017543/donahue-trail-27,Pine,0.919371727748691,5.0,Rim Country Mountain Biking Association,169.0,2.0,4.0,11.0,5548.0,5381.0,Unknown,Unknown
clubhouse trail,0.9,EASY,https://www.mtbproject.com/trail/7052371/clubhouse-trail,Cave Creek,0.9183246073298429,5.0,,57.0,2.0,1.0,3.0,1669.0,1614.0,Leashed,Allowed
ledge-n-airy,0.8,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7051890/ledge-n-airy,West Sedona,0.9172774869109948,5.0,,204.0,2.0,5.0,16.0,4393.0,4191.0,Unknown,Unknown
flat rock trail,0.5,INTERMEDIATE,https://www.mtbproject.com/trail/7032773/flat-rock-trail,Cave Creek,0.9162303664921466,5.0,Maricopa County Parks,145.0,1.0,5.0,12.0,2292.0,2149.0,Unknown,Allowed
happy ending,0.3,DIFFICULT,https://www.mtbproject.com/trail/7041131/happy-ending,Prescott,0.9151832460732984,5.0,Prescott Mountain Bike Alliance,5.0,55.0,3.0,6.0,5750.0,5700.0,Leashed,Unknown
fs road #217,12.8,INTERMEDIATE,https://www.mtbproject.com/trail/7025742/fs-road-217,Rio Rico,0.9141361256544502,5.0,,1475.0,1628.0,5.0,18.0,4528.0,3561.0,Unknown,Unknown
floaty mczebratail,1.2,INTERMEDIATE,https://www.mtbproject.com/trail/7057115/floaty-mczebratail,Ajo,0.9130890052356021,5.0,BLM - Lower Sonoran Field Office,2.0,146.0,2.0,4.0,1823.0,1679.0,Unknown,Unknown
360 vista,1.1,DIFFICULT,https://www.mtbproject.com/trail/7011526/360-vista,Drexel Heights,0.912041884816754,4.8,Sonoran Desert Mountain Bicyclists,104.0,183.0,5.0,12.0,2834.0,2651.0,Unknown,Unknown
east butte trail,2.7,INTERMEDIATE,https://www.mtbproject.com/trail/7013030/east-butte-trail,Casa Grande,0.9109947643979057,5.0,Casa Grande Parks & Recreation,262.0,291.0,4.0,12.0,1697.0,1508.0,Unknown,Unknown
powerlines trail,0.7,EASY,https://www.mtbproject.com/trail/7052366/powerlines-trail,Cave Creek,0.9099476439790576,5.0,,31.0,0.0,1.0,1.0,1636.0,1605.0,Leashed,Unknown
sonny's trail,1.1,INTERMEDIATE,https://www.mtbproject.com/trail/7015599/sonnys-trail,Lake Havasu City,0.9089005235602095,5.0,BLM Lake Havasu Field Office,32.0,215.0,4.0,32.0,885.0,681.0,Off-leash,Unknown
inner loop connector,0.4,EASY,https://www.mtbproject.com/trail/7043124/inner-loop-connector,Vail,0.9078534031413612,5.0,,86.0,2.0,4.0,6.0,3825.0,3739.0,Leashed,Unknown
san tan trail,6.6,INTERMEDIATE,https://www.mtbproject.com/trail/4819581/san-tan-trail,Queen Creek,0.9068062827225131,3.9,San Tan Shredders,602.0,457.0,3.0,17.0,1908.0,1682.0,Unknown,Allowed
danny's climb,0.8,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7057107/dannys-climb,Ajo,0.9057591623036649,5.0,BLM - Lower Sonoran Field Office,168.0,0.0,4.0,10.0,1851.0,1683.0,Unknown,Unknown
navigator south,0.1,EASY,https://www.mtbproject.com/trail/7052383/navigator-south,Cave Creek,0.9047120418848167,5.0,,4.0,0.0,1.0,1.0,1648.0,1644.0,Unknown,Unknown
cedar knoll trail,0.7,EASY,https://www.mtbproject.com/trail/7044430/cedar-knoll-trail,Lake Montezuma,0.9036649214659686,5.0,,41.0,14.0,2.0,5.0,3712.0,3677.0,Unknown,Unknown
children's trail,0.4,DIFFICULT,https://www.mtbproject.com/trail/7039547/childrens-trail,Eagar,0.9026178010471204,5.0,,0.0,255.0,12.0,24.0,9821.0,9566.0,No Dogs,Unknown
mano y mano,1.2,DIFFICULT,https://www.mtbproject.com/trail/7045501/mano-y-mano,Yuma,0.9015706806282723,5.0,Desert Mountain Bikers of Yuma,114.0,69.0,3.0,9.0,435.0,325.0,Unknown,Unknown
johnimal's junction,0.6,DIFFICULT,https://www.mtbproject.com/trail/7045975/johnimals-junction,Kingman,0.900523560209424,5.0,City of Kingman,11.0,88.0,3.0,13.0,3680.0,3597.0,,Unknown
navigator north,0.1,EASY,https://www.mtbproject.com/trail/7052382/navigator-north,Cave Creek,0.8994764397905759,5.0,,11.0,0.0,2.0,2.0,1660.0,1649.0,Unknown,Unknown
freemont bend trail,0.4,EASY,https://www.mtbproject.com/trail/7052368/freemont-bend-trail,Cave Creek,0.8984293193717278,5.0,,10.0,4.0,1.0,1.0,1608.0,1598.0,Leashed,Allowed
cow poke trail,1.0,EASY,https://www.mtbproject.com/trail/7057140/cow-poke-trail,Carefree,0.8973821989528796,5.0,City of Scottsdale,137.0,4.0,3.0,5.0,2757.0,2624.0,Leashed,Not Allowed
lagarto,3.4,INTERMEDIATE,https://www.mtbproject.com/trail/7057702/lagarto,Ajo,0.8963350785340314,5.0,Bike Ajo,132.0,133.0,1.0,8.0,1855.0,1737.0,Unknown,Unknown
magma,1.9,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7057682/magma,Ajo,0.8952879581151832,5.0,Bike Ajo,39.0,42.0,1.0,4.0,1674.0,1639.0,Unknown,Unknown
matt's loop: east,4.7,INTERMEDIATE,https://www.mtbproject.com/trail/7057631/matts-loop-east,Ajo,0.8942408376963351,5.0,Bike Ajo,123.0,99.0,1.0,2.0,1846.0,1737.0,Unknown,Unknown
into the vortex (blm 8112j),1.0,INTERMEDIATE,https://www.mtbproject.com/trail/7057407/into-the-vortex-blm-8112j,Ajo,0.8931937172774869,5.0,BLM - Lower Sonoran Field Office,111.0,61.0,3.0,17.0,1737.0,1626.0,Unknown,Unknown
wild horse trail,3.6,INTERMEDIATE,https://www.mtbproject.com/trail/7024987/wild-horse-trail,Fountain Hills,0.8921465968586387,4.3,USFS - Tonto National Forest Office,469.0,84.0,3.0,8.0,1883.0,1481.0,Unknown,Unknown
easy breezy,2.0,INTERMEDIATE,https://www.mtbproject.com/trail/4933409/easy-breezy,West Sedona,0.8910994764397906,4.0,Verde Valley Cyclists Coalition,230.0,0.0,2.0,5.0,4273.0,4042.0,Unknown,Unknown
black canyon city connector,0.8,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4547892/black-canyon-city-connector,Black Canyon City,0.8900523560209423,4.6,Black Canyon Trail Coalition,49.0,33.0,2.0,11.0,2077.0,2035.0,Unknown,Unknown
gray fox trail,0.9,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7021208/gray-fox-trail,Citrus Park,0.8890052356020942,4.6,Maricopa County Parks,83.0,3.0,2.0,5.0,1585.0,1503.0,Unknown,Allowed
aspen draw,2.7,DIFFICULT,https://www.mtbproject.com/trail/678823/aspen-draw,Catalina,0.8879581151832461,4.5,Tucson Off Road Cyclists & Activists (TORCA),0.0,1280.0,9.0,55.0,9077.0,7797.0,Unknown,Unknown
peccary trail,0.4,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4915800/peccary-trail,Sedona,0.8869109947643978,4.3,USFS - Coconino National Forest Office,80.0,0.0,3.0,7.0,4322.0,4242.0,Unknown,Unknown
cowboy slickrock,1.0,DIFFICULT,https://www.mtbproject.com/trail/7017454/cowboy-slickrock,Catalina,0.8858638743455497,4.5,,105.0,192.0,6.0,12.0,3769.0,3609.0,Off-leash,Unknown
escondido trail,6.4,INTERMEDIATE,https://www.mtbproject.com/trail/7000565/escondido-trail,Rio Verde,0.8848167539267016,4.0,Desert Foothills Mountain Bike Association,442.0,648.0,3.0,10.0,1899.0,1624.0,Unknown,Allowed
country club #632,3.4,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7007980/country-club-632,Pinetop-Lakeside,0.8837696335078534,4.3,USFS - Apache & Sitgreaves National Forests Office,198.0,191.0,2.0,11.0,7340.0,7205.0,Unknown,Unknown
little yeager canyon trail #533,2.1,DIFFICULT,https://www.mtbproject.com/trail/7003736/little-yeager-canyon-trail-533,Verde Village,0.8827225130890052,4.8,Prescott Mountain Bike Alliance,52.0,917.0,9.0,28.0,6915.0,6000.0,Unknown,Unknown
spur cross trail,4.2,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/626579/spur-cross-trail,Cave Creek,0.881675392670157,4.4,Cave Creek Bicycle Association,551.0,263.0,4.0,14.0,2764.0,2294.0,Unknown,Allowed
little bear,3.4,DIFFICULT,https://www.mtbproject.com/trail/979216/little-bear,Flagstaff,0.8806282722513089,4.4,Flagstaff Biking Organization,869.0,5.0,5.0,12.0,8424.0,7560.0,Unknown,Unknown
north diablo trail,1.3,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7038533/north-diablo-trail,Carefree,0.8795811518324608,4.4,City of Scottsdale,77.0,35.0,2.0,5.0,2956.0,2888.0,Leashed,Not Allowed
little cat trail,1.0,INTERMEDIATE,https://www.mtbproject.com/trail/7022097/little-cat-trail,Tucson Estates,0.8785340314136125,4.1,Sonoran Desert Mountain Bicyclists,62.0,95.0,3.0,11.0,2833.0,2780.0,No Dogs,Unknown
helipad trail,1.1,DIFFICULT,https://www.mtbproject.com/trail/3637282/helipad-trail,Guadalupe,0.8774869109947644,4.3,City of Phoenix - Trails and Desert Preserves,327.0,77.0,7.0,18.0,1789.0,1469.0,Unknown,Allowed
