trail_name,length,difficulty,city,popularity,rating,local_club,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
adobe jack,2,INTERMEDIATE,Sedona,0.985340314,4,Verde Valley Cyclists Coalition,109,240,3,10,4494,4341,Unknown,Unknown
bunny loop,4.5,EASY,Vail,0.984293194,4,,77,82,1,3,2920,2871,Unknown,Unknown
cockscomb,3.6,INTERMEDIATE,West Sedona,0.983246073,4.4,Verde Valley Cyclists Coalition,296,280,3,12,4648,4511,Unknown,Not Allowed
hangover trail,3.2,VERY DIFFICULT,Sedona,0.982198953,4.9,,244,753,6,36,5224,4673,Unknown,Unknown
broken arrow trail,1.5,DIFFICULT,Sedona,0.981151832,4.4,Verde Valley Cyclists Coalition,350,64,5,20,4618,4282,Unknown,Unknown
aerie,2.9,INTERMEDIATE,West Sedona,0.980104712,4.5,Verde Valley Cyclists Coalition,262,223,3,12,4727,4524,Unknown,Unknown
national trail,13.8,DIFFICULT,Laveen,0.979057592,4.8,,1961,1729,5,35,2465,1259,Leashed,Allowed
high on the hog,0.3,DIFFICULT,Sedona,0.978010471,4.4,Verde Valley Cyclists Coalition,29,96,7,18,4587,4491,Unknown,Unknown
pigtail,0.6,DIFFICULT,Sedona,0.976963351,4.7,Verde Valley Cyclists Coalition,45,137,6,11,4379,4242,Unknown,Unknown
arizona trail (aspen corner to fr 418),7,INTERMEDIATE,Flagstaff,0.97591623,4.7,USFS - Coconino National Forest Office,291,857,3,9,9014,8280,Leashed,Unknown
sidewinder trail,7.1,INTERMEDIATE/DIFFICULT,Anthem,0.97486911,4.1,,683,806,4,16,2082,1739,Leashed,Unknown
sonoran loop competitive track - outer loop,7.1,INTERMEDIATE,Citrus Park,0.97382199,4.2,,518,520,3,15,1720,1491,Leashed,Allowed
long loop,8,INTERMEDIATE,Fountain Hills,0.972774869,4,,457,450,2,10,1751,1560,Unknown,Allowed
schultz creek trail,4.2,INTERMEDIATE,Flagstaff,0.971727749,4.3,Flagstaff Biking Organization,873,1,4,14,8071,7198,Unknown,Unknown
little horse trail,1.5,INTERMEDIATE/DIFFICULT,Sedona,0.970680628,4.1,Verde Valley Cyclists Coalition,22,349,5,12,4569,4225,Unknown,Not Allowed
hog wash trail,1.3,DIFFICULT,Sedona,0.969633508,4.1,Verde Valley Cyclists Coalition,90,138,3,15,4403,4311,Unknown,Unknown
geronimo trail,1.9,DIFFICULT,Guadalupe,0.968586387,4.9,City of Phoenix - Trails and Desert Preserves,0,1026,10,31,2328,1302,Unknown,Allowed
canyon of fools,1.2,INTERMEDIATE/DIFFICULT,West Sedona,0.967539267,4.4,Verde Valley Cyclists Coalition,78,256,5,13,4641,4463,Unknown,Unknown
hawknest trail,11.6,EASY/INTERMEDIATE,Carefree,0.966492147,4.5,City of Scottsdale,362,662,2,5,2957,2388,Leashed,Not Allowed
sunset,4.7,DIFFICULT,Flagstaff,0.965445026,4.6,Flagstaff Biking Organization,1488,486,8,50,9140,8058,Unknown,Unknown
technical loop,2.7,DIFFICULT,Fountain Hills,0.964397906,4.4,,273,285,4,11,1816,1618,No Dogs,Allowed
grand central,1.8,INTERMEDIATE/DIFFICULT,Sedona,0.963350785,4.3,Verde Valley Cyclists Coalition,400,188,6,21,4642,4242,Unknown,Unknown
cathedral rock connector trail,0.3,DIFFICULT,West Sedona,0.962303665,4.7,,0,107,7,23,4153,4045,Unknown,Unknown
rail x ranch / honeybee canyon loop,13.7,INTERMEDIATE,Catalina,0.961256545,4.4,,729,725,2,9,3660,3061,Unknown,Unknown
trw trail,2,EASY/INTERMEDIATE,Fountain Hills,0.960209424,4.5,USFS - Tonto National Forest Office,76,161,2,6,1508,1362,Unknown,Unknown
upper 50-year trail,1,DIFFICULT,Catalina,0.959162304,4.8,Sonoran Desert Mountain Bicyclists,90,308,7,24,3611,3320,Off-leash,Unknown
la milagrosa,4.4,DIFFICULT,Tanque Verde,0.958115183,4.3,Tucson Off Road Cyclists & Activists (TORCA),213,1381,7,23,4029,2809,Leashed,Not Allowed
baldwin loop,2.1,INTERMEDIATE/DIFFICULT,West Sedona,0.957068063,3.8,Verde Valley Cyclists Coalition,245,236,4,16,4126,3959,Unknown,Unknown
badlands trail,6.7,INTERMEDIATE,Catalina,0.956020942,4.4,,318,307,2,6,3736,3546,Unknown,Unknown
south loop,3.4,EASY/INTERMEDIATE,Mescal,0.954973822,4.4,,188,249,2,7,3887,3764,No Dogs,Unknown
horton creek trail,3.5,INTERMEDIATE/DIFFICULT,Star Valley,0.953926702,5,,1214,9,7,29,6646,5436,Off-leash,Unknown
granite mountain loop trail,4.6,INTERMEDIATE,Rio Verde,0.952879581,4.5,City of Scottsdale,356,305,3,8,2935,2670,Unknown,Not Allowed
made in the shade,1.3,DIFFICULT,Village of Oak Creek (Big Park),0.951832461,3.8,Verde Valley Cyclists Coalition,166,305,7,18,4540,4259,Unknown,Unknown
goldwater lakes trail #396,4.6,INTERMEDIATE,Prescott,0.95078534,4.1,Prescott Mountain Bike Alliance,872,338,5,12,6164,5630,Unknown,Unknown
firewater trail #325,1.1,INTERMEDIATE,Prescott,0.94973822,5,Prescott Mountain Bike Alliance,0,244,4,10,5911,5667,Unknown,Unknown
the chutes,1.4,INTERMEDIATE/DIFFICULT,Catalina,0.948691099,4.1,Sonoran Desert Mountain Bicyclists,160,163,4,9,3289,3127,Unknown,Unknown
bell rock trail,3.5,EASY/INTERMEDIATE,Village of Oak Creek (Big Park),0.947643979,3.5,Verde Valley Cyclists Coalition,200,297,3,6,4386,4173,Unknown,Unknown
secret trail,0.9,INTERMEDIATE,Guadalupe,0.946596859,4.4,City of Phoenix - Trails and Desert Preserves,21,97,3,7,1523,1431,Unknown,Allowed
ranch trail #62,9.5,INTERMEDIATE,Prescott,0.945549738,4.7,Prescott Mountain Bike Alliance,592,1164,3,13,6556,5603,Unknown,Unknown
inner basin trail,1.7,INTERMEDIATE/DIFFICULT,Flagstaff,0.944502618,5,Flagstaff Biking Organization,0,718,8,21,9373,8654,Unknown,Unknown
peavine trail,5.4,EASY,Prescott,0.943455497,4.5,Prescott Mountain Bike Alliance,46,252,1,3,5204,4986,Leashed,Unknown
los burros shortcut,2,INTERMEDIATE,Pinetop-Lakeside,0.942408377,5,Pinetop-Lakeside TRACKS,47,356,4,17,8161,7851,Unknown,Unknown
cherum peak trail,2.6,DIFFICULT,New Kingman-Butler,0.941361257,5,,1100,169,9,26,6915,5858,Unknown,Allowed
#305 homestead trail,6.6,INTERMEDIATE/DIFFICULT,Prescott,0.940314136,4.1,Prescott Mountain Bike Alliance,978,506,4,16,6056,5473,Unknown,Unknown
ocotillo trail,6.3,INTERMEDIATE,Cave Creek,0.939267016,4.1,,448,322,2,10,1919,1701,Leashed,Unknown
javelina,1.3,INTERMEDIATE/DIFFICULT,Sedona,0.938219895,4.2,Verde Valley Cyclists Coalition,32,333,6,14,4542,4241,Unknown,Unknown
molino basin,2.5,INTERMEDIATE/DIFFICULT,Tanque Verde,0.937172775,4,Tucson Off Road Cyclists & Activists (TORCA),169,676,6,25,4913,4320,Unknown,Unknown
burro pit loop,2.4,INTERMEDIATE,Tanque Verde,0.936125654,5,,66,98,1,7,2832,2801,Unknown,Not Allowed
ridge trail #59,1.9,INTERMEDIATE,Fountain Hills,0.935078534,4.4,USFS - Tonto National Forest Office,70,377,4,10,1739,1373,Unknown,Unknown
latigo trail,2,EASY,Carefree,0.934031414,4.8,City of Scottsdale,107,133,2,7,2837,2706,Leashed,Not Allowed
quartz trail,1.4,INTERMEDIATE,Cave Creek,0.932984293,4.8,,70,299,5,9,2407,2114,Unknown,Allowed
soldier's trail,5.2,INTERMEDIATE,Kachina Village,0.931937173,3.8,Coconino County and the City of Flagstaff,306,310,2,8,7129,6955,Unknown,Unknown
badger trail,3.3,DIFFICULT,Golden Valley,0.930890052,4.7,Colorado River Area Trail Alliance,1042,4,6,11,4485,3446,Unknown,Unknown
dixie mountain loop,4,INTERMEDIATE,Anthem,0.929842932,4.5,Cave Creek Bicycle Association,543,540,5,18,2047,1654,Leashed,Unknown
explorer trail,4.7,DIFFICULT,Drexel Heights,0.928795812,4,Sonoran Desert Mountain Bicyclists,671,408,4,19,2968,2497,Unknown,Unknown
ridgeback trail,1.8,INTERMEDIATE/DIFFICULT,Cave Creek,0.927748691,4.6,Cave Creek Bicycle Association,278,329,6,21,2110,1812,Unknown,Unknown
sierra prieta trail #366,0.9,INTERMEDIATE,Prescott,0.926701571,5,USFS - Prescott National Forest Office,52,170,5,13,7007,6837,Leashed,Unknown
hi top,1.1,DIFFICULT,Fortuna Foothills,0.92565445,5,Desert Mountain Bikers of Yuma,84,56,2,10,527,473,Unknown,Unknown
naked man trail,0.6,INTERMEDIATE,Lake Havasu City,0.92460733,5,BLM Lake Havasu Field Office,38,56,3,6,852,798,Off-leash,Unknown
azt: segment 7 - antelope peak and boulders segment,43.9,INTERMEDIATE/DIFFICULT,Oracle,0.923560209,5,Arizona Trail Association,4450,5177,4,23,4211,2793,Leashed,Unknown
jordan trail,1.6,INTERMEDIATE/DIFFICULT,Sedona,0.922513089,4,Verde Valley Cyclists Coalition,174,197,4,11,4583,4445,Unknown,Unknown
yuma bike path (colorado river levee multi-use path),8.6,EASY,Yuma,0.921465969,5,,107,112,0,4,161,121,Leashed,Allowed
#9415 wolverton mountain trail,5,INTERMEDIATE/DIFFICULT,Prescott,0.920418848,4.5,Prescott Mountain Bike Alliance,1117,235,5,14,6685,5620,Unknown,Unknown
donahue trail #27,0.7,INTERMEDIATE,Pine,0.919371728,5,Rim Country Mountain Biking Association,169,2,4,11,5548,5381,Unknown,Unknown
clubhouse trail,0.9,EASY,Cave Creek,0.918324607,5,,57,2,1,3,1669,1614,Leashed,Allowed
ledge-n-airy,0.8,INTERMEDIATE/DIFFICULT,West Sedona,0.917277487,5,,204,2,5,16,4393,4191,Unknown,Unknown
flat rock trail,0.5,INTERMEDIATE,Cave Creek,0.916230366,5,Maricopa County Parks,145,1,5,12,2292,2149,Unknown,Allowed
happy ending,0.3,DIFFICULT,Prescott,0.915183246,5,Prescott Mountain Bike Alliance,5,55,3,6,5750,5700,Leashed,Unknown
fs road #217,12.8,INTERMEDIATE,Rio Rico,0.914136126,5,,1475,1628,5,18,4528,3561,Unknown,Unknown
floaty mczebratail,1.2,INTERMEDIATE,Ajo,0.913089005,5,BLM - Lower Sonoran Field Office,2,146,2,4,1823,1679,Unknown,Unknown
360 vista,1.1,DIFFICULT,Drexel Heights,0.912041885,4.8,Sonoran Desert Mountain Bicyclists,104,183,5,12,2834,2651,Unknown,Unknown
east butte trail,2.7,INTERMEDIATE,Casa Grande,0.910994764,5,Casa Grande Parks & Recreation,262,291,4,12,1697,1508,Unknown,Unknown
powerlines trail,0.7,EASY,Cave Creek,0.909947644,5,,31,0,1,1,1636,1605,Leashed,Unknown
sonny's trail,1.1,INTERMEDIATE,Lake Havasu City,0.908900524,5,BLM Lake Havasu Field Office,32,215,4,32,885,681,Off-leash,Unknown
inner loop connector,0.4,EASY,Vail,0.907853403,5,,86,2,4,6,3825,3739,Leashed,Unknown
san tan trail,6.6,INTERMEDIATE,Queen Creek,0.906806283,3.9,San Tan Shredders,602,457,3,17,1908,1682,Unknown,Allowed
danny's climb,0.8,INTERMEDIATE/DIFFICULT,Ajo,0.905759162,5,BLM - Lower Sonoran Field Office,168,0,4,10,1851,1683,Unknown,Unknown
navigator south,0.1,EASY,Cave Creek,0.904712042,5,,4,0,1,1,1648,1644,Unknown,Unknown
cedar knoll trail,0.7,EASY,Lake Montezuma,0.903664921,5,,41,14,2,5,3712,3677,Unknown,Unknown
children's trail,0.4,DIFFICULT,Eagar,0.902617801,5,,0,255,12,24,9821,9566,No Dogs,Unknown
mano y mano,1.2,DIFFICULT,Yuma,0.901570681,5,Desert Mountain Bikers of Yuma,114,69,3,9,435,325,Unknown,Unknown
johnimal's junction,0.6,DIFFICULT,Kingman,0.90052356,5,City of Kingman,11,88,3,13,3680,3597,Unknown,Unknown
navigator north,0.1,EASY,Cave Creek,0.89947644,5,,11,0,2,2,1660,1649,Unknown,Unknown
freemont bend trail,0.4,EASY,Cave Creek,0.898429319,5,,10,4,1,1,1608,1598,Leashed,Allowed
cow poke trail,1,EASY,Carefree,0.897382199,5,City of Scottsdale,137,4,3,5,2757,2624,Leashed,Not Allowed
lagarto,3.4,INTERMEDIATE,Ajo,0.896335079,5,Bike Ajo,132,133,1,8,1855,1737,Unknown,Unknown
magma,1.9,EASY/INTERMEDIATE,Ajo,0.895287958,5,Bike Ajo,39,42,1,4,1674,1639,Unknown,Unknown
matt's loop: east,4.7,INTERMEDIATE,Ajo,0.894240838,5,Bike Ajo,123,99,1,2,1846,1737,Unknown,Unknown
into the vortex (blm 8112j),1,INTERMEDIATE,Ajo,0.893193717,5,BLM - Lower Sonoran Field Office,111,61,3,17,1737,1626,Unknown,Unknown
wild horse trail,3.6,INTERMEDIATE,Fountain Hills,0.892146597,4.3,USFS - Tonto National Forest Office,469,84,3,8,1883,1481,Unknown,Unknown
easy breezy,2,INTERMEDIATE,West Sedona,0.891099476,4,Verde Valley Cyclists Coalition,230,0,2,5,4273,4042,Unknown,Unknown
black canyon city connector,0.8,INTERMEDIATE/DIFFICULT,Black Canyon City,0.890052356,4.6,Black Canyon Trail Coalition,49,33,2,11,2077,2035,Unknown,Unknown
gray fox trail,0.9,EASY/INTERMEDIATE,Citrus Park,0.889005236,4.6,Maricopa County Parks,83,3,2,5,1585,1503,Unknown,Allowed
aspen draw,2.7,DIFFICULT,Catalina,0.887958115,4.5,Tucson Off Road Cyclists & Activists (TORCA),0,1280,9,55,9077,7797,Unknown,Unknown
peccary trail,0.4,INTERMEDIATE/DIFFICULT,Sedona,0.886910995,4.3,USFS - Coconino National Forest Office,80,0,3,7,4322,4242,Unknown,Unknown
cowboy slickrock,1,DIFFICULT,Catalina,0.885863874,4.5,,105,192,6,12,3769,3609,Off-leash,Unknown
escondido trail,6.4,INTERMEDIATE,Rio Verde,0.884816754,4,Desert Foothills Mountain Bike Association,442,648,3,10,1899,1624,Unknown,Allowed
country club #632,3.4,EASY/INTERMEDIATE,Pinetop-Lakeside,0.883769634,4.3,USFS - Apache & Sitgreaves National Forests Office,198,191,2,11,7340,7205,Unknown,Unknown
little yeager canyon trail #533,2.1,DIFFICULT,Verde Village,0.882722513,4.8,Prescott Mountain Bike Alliance,52,917,9,28,6915,6000,Unknown,Unknown
spur cross trail,4.2,INTERMEDIATE/DIFFICULT,Cave Creek,0.881675393,4.4,Cave Creek Bicycle Association,551,263,4,14,2764,2294,Unknown,Allowed
little bear,3.4,DIFFICULT,Flagstaff,0.880628272,4.4,Flagstaff Biking Organization,869,5,5,12,8424,7560,Unknown,Unknown
north diablo trail,1.3,INTERMEDIATE/DIFFICULT,Carefree,0.879581152,4.4,City of Scottsdale,77,35,2,5,2956,2888,Leashed,Not Allowed
little cat trail,1,INTERMEDIATE,Tucson Estates,0.878534031,4.1,Sonoran Desert Mountain Bicyclists,62,95,3,11,2833,2780,No Dogs,Unknown
helipad trail,1.1,DIFFICULT,Guadalupe,0.877486911,4.3,City of Phoenix - Trails and Desert Preserves,327,77,7,18,1789,1469,Unknown,Allowed
dynamite trail,2.3,INTERMEDIATE,Queen Creek,0.876439791,4,Maricopa County Parks,338,163,4,20,1894,1617,Unknown,Allowed
estrella foothills loop,7.5,INTERMEDIATE/DIFFICULT,Goodyear,0.87539267,3.9,West Valley Trail Alliance,509,497,3,11,1292,1038,Unknown,Unknown
hawes trail,2.1,DIFFICULT,Apache Junction,0.87434555,4.3,USFS - Tonto National Forest Office,57,481,5,12,2031,1607,Unknown,Unknown
yeager cabin trail #111,2,INTERMEDIATE,Verde Village,0.873298429,4.6,Prescott Mountain Bike Alliance,133,517,6,25,7188,6690,Unknown,Unknown
arizona trail (snowbowl road to aspen corner),4.8,INTERMEDIATE,Flagstaff,0.872251309,4.2,USFS - Coconino National Forest Office,1235,62,5,14,8842,7665,Unknown,Unknown
painter boy,4.9,INTERMEDIATE,Catalina,0.871204188,4.7,,525,256,3,13,4349,4016,Unknown,Unknown
moby #737,2,INTERMEDIATE/DIFFICULT,Prescott,0.870157068,4.7,Prescott Mountain Bike Alliance,69,481,5,24,6868,6435,Unknown,Unknown
pyramid,1.3,DIFFICULT,West Sedona,0.869109948,4.3,,38,288,5,22,4314,4063,Unknown,Unknown
ryan's trail,3.4,INTERMEDIATE,Yuma,0.868062827,4.7,Desert Mountain Bikers of Yuma,326,114,2,12,408,196,Unknown,Unknown
saguaro trail,3.2,DIFFICULT,Fountain Hills,0.867015707,4.4,,332,475,5,17,1751,1370,Unknown,Unknown
holbert trail,2.5,VERY DIFFICULT,Guadalupe,0.865968586,4.5,City of Phoenix - Trails and Desert Preserves,10,1043,8,25,2397,1362,Leashed,Allowed
50 year trail segment,6.8,INTERMEDIATE,Oro Valley,0.864921466,3.4,,720,165,2,11,3201,2643,Unknown,Unknown
saddle trail,1.4,DIFFICULT,Fountain Hills,0.863874346,4.5,USFS - Tonto National Forest Office,89,271,5,17,1790,1577,Unknown,Unknown
huckaby,3.1,DIFFICULT,Sedona,0.862827225,4.2,Verde Valley Cyclists Coalition,537,465,6,23,4539,4290,Unknown,Unknown
buena vista trail #637,10.1,INTERMEDIATE/DIFFICULT,Show Low,0.861780105,4.4,,1160,1196,4,18,6816,6526,Unknown,Unknown
snake dance loop,2,EASY/INTERMEDIATE,Vail,0.860732984,3.9,,60,61,1,4,2935,2894,Unknown,Unknown
deadmans pass,1.3,INTERMEDIATE,West Sedona,0.859685864,4.1,Verde Valley Cyclists Coalition,196,63,4,7,4705,4518,Unknown,Unknown
go john trail,5.7,DIFFICULT,Cave Creek,0.858638743,3.9,,763,758,5,14,2522,2124,Leashed,Allowed
submarine rock trail,0.8,INTERMEDIATE/DIFFICULT,Sedona,0.857591623,4.2,Verde Valley Cyclists Coalition,77,54,3,9,4471,4397,Unknown,Unknown
girdner trail,5.1,INTERMEDIATE/DIFFICULT,West Sedona,0.856544503,3.3,Verde Valley Cyclists Coalition,398,494,3,12,4601,4250,Unknown,Unknown
javelina canyon trail,1.9,INTERMEDIATE/DIFFICULT,Guadalupe,0.855497382,3.9,City of Phoenix - Trails and Desert Preserves,387,33,4,11,1613,1247,Unknown,Allowed
walnut meadows loop,4,EASY,Flagstaff,0.854450262,4.2,Flagstaff Biking Organization,153,156,1,9,6866,6797,Unknown,Unknown
lower corona de loma,1,INTERMEDIATE,Guadalupe,0.853403141,4.1,City of Phoenix - Trails and Desert Preserves,127,144,5,18,1615,1477,Unknown,Allowed
rim trail,10.4,INTERMEDIATE,Page,0.852356021,4.2,City of Page Recreation Department,354,354,1,17,4343,4052,Unknown,Unknown
mormon loop trail,1.5,DIFFICULT,Guadalupe,0.851308901,4.3,City of Phoenix - Trails and Desert Preserves,35,416,6,21,1992,1579,Leashed,Allowed
maricopa trail: white tank - grand avenue,12.7,EASY/INTERMEDIATE,Citrus Park,0.85026178,4.1,AZ State Land Department,51,133,0,4,1419,1337,Unknown,Allowed
scorpion,2.1,INTERMEDIATE/DIFFICULT,West Sedona,0.84921466,3.8,,39,447,4,12,4474,4050,Unknown,Unknown
bones trail,5.8,INTERMEDIATE,Cottonwood,0.848167539,4.1,Verde Valley Cyclists Coalition,730,169,3,11,4079,3475,Unknown,Unknown
outer limits,6.3,INTERMEDIATE/DIFFICULT,West Sedona,0.847120419,4.3,,486,615,3,13,4594,4135,Unknown,Unknown
long canyon trail,1.1,EASY/INTERMEDIATE,West Sedona,0.846073298,4,Verde Valley Cyclists Coalition,10,137,2,8,4654,4521,Unknown,Unknown
ground control,0.8,DIFFICULT,West Sedona,0.845026178,4.3,,87,240,8,23,4713,4495,Leashed,Not Allowed
loop trail - walnut canyon segment,8.8,INTERMEDIATE,Flagstaff,0.843979058,3.8,Flagstaff Biking Organization,480,584,2,11,7035,6839,Off-leash,Unknown
chipmunk springs,7.7,INTERMEDIATE,Pinetop-Lakeside,0.842931937,4.3,Pinetop-Lakeside TRACKS,720,147,2,11,7810,7230,Unknown,Unknown
chuckwagon trail,2.4,EASY/INTERMEDIATE,Carefree,0.841884817,4.4,,51,202,2,5,2868,2717,Leashed,Not Allowed
tech ridge,1.1,DIFFICULT,Kingman,0.840837696,4.4,,131,44,3,13,3960,3842,Unknown,Unknown
trail 100 - east,3.8,INTERMEDIATE,Paradise Valley,0.839790576,3.5,City of Phoenix - Trails and Desert Preserves,326,322,3,10,1650,1395,Unknown,Unknown
cactus forest trail,2.6,EASY/INTERMEDIATE,Tanque Verde,0.838743455,4.1,,218,32,2,6,3093,2905,No Dogs,Not Allowed
pine-strawberry trail,4.5,INTERMEDIATE,Pine,0.837696335,4.5,,811,564,6,19,6028,5689,Unknown,Unknown
big park loop,2.1,INTERMEDIATE,Village of Oak Creek (Big Park),0.836649215,3.7,Verde Valley Cyclists Coalition,132,128,2,6,4285,4162,Unknown,Unknown
badger brawl trail,3.4,EASY/INTERMEDIATE,Cave Creek,0.835602094,4.1,,20,145,1,3,1858,1726,Leashed,Unknown
bones trail,3,INTERMEDIATE,Catalina,0.834554974,4.5,,101,371,3,12,4308,4002,Unknown,Unknown
cholla mountain loop,3.1,EASY/INTERMEDIATE,Carefree,0.833507853,4,City of Scottsdale,204,207,3,7,3011,2806,Unknown,Not Allowed
vista trail,1.6,INTERMEDIATE,Prescott,0.832460733,4.5,Prescott Mountain Bike Alliance,313,15,4,11,5935,5635,Leashed,Unknown
sunset loop trail,2.1,EASY/INTERMEDIATE,Lake Montezuma,0.831413613,4.5,,113,114,2,5,3811,3701,Unknown,Unknown
tech loop,0.8,DIFFICULT,Gold Camp,0.830366492,4.5,AZ State Land Department,52,54,3,7,2173,2123,Unknown,Unknown
ridgeline trail,2.7,INTERMEDIATE/DIFFICULT,Catalina,0.829319372,4.5,"Pima County - Natural Resources, Parks and Recreation",11,628,5,15,4212,3594,Unknown,Unknown
russ t. fender,0.9,INTERMEDIATE,Prescott,0.828272251,4.5,Prescott Mountain Bike Alliance,201,12,5,12,5947,5746,Leashed,Unknown
ridge trail (difficult),1.4,INTERMEDIATE/DIFFICULT,Casa Grande,0.827225131,4.5,Casa Grande Parks & Recreation,122,190,4,16,1818,1642,Leashed,Allowed
8-ball,1.7,INTERMEDIATE,Fortuna Foothills,0.82617801,4.5,Desert Mountain Bikers of Yuma,55,240,3,10,627,387,Unknown,Unknown
razorback,0.7,DIFFICULT,Fortuna Foothills,0.82513089,4.5,,8,176,5,12,491,323,Unknown,Unknown
bunny's revenge,1.7,EASY,Vail,0.82408377,3.9,,30,31,1,3,2938,2907,Unknown,Unknown
200 trail,3.9,DIFFICULT,Payson,0.823036649,4.1,USFS - Tonto National Forest Office,462,582,5,16,5021,4769,Unknown,Unknown
south diablo trail,1.5,INTERMEDIATE/DIFFICULT,Carefree,0.821989529,4.1,City of Scottsdale,64,136,2,6,3004,2898,Leashed,Not Allowed
sketch,1.3,INTERMEDIATE/DIFFICULT,West Sedona,0.820942408,4.1,Verde Valley Cyclists Coalition,156,175,5,21,4333,4239,Unknown,Unknown
kellog/incinerator ridge,2.1,VERY DIFFICULT,Tanque Verde,0.819895288,4,Sonoran Desert Mountain Bicyclists,70,985,9,39,8293,7378,Unknown,Unknown
rattler trail,5.1,DIFFICULT,Kingman,0.818848168,4,,852,211,4,12,4283,3642,Leashed,Unknown
hohokam trail,3.6,INTERMEDIATE,Vail,0.817801047,3.9,,339,159,3,11,3752,3536,Leashed,Unknown
balancing rock trail #349,3.2,INTERMEDIATE,Williamson,0.816753927,4.2,Prescott Mountain Bike Alliance,276,422,4,10,5931,5597,Unknown,Unknown
mormon trail,1.1,DIFFICULT,Guadalupe,0.815706806,4.2,,712,0,12,34,1986,1274,Leashed,Unknown
tonto tank trail,2.7,EASY/INTERMEDIATE,Rio Verde,0.814659686,4.2,,0,434,3,5,2299,1865,Leashed,Allowed
dixie mine trail,5,INTERMEDIATE/DIFFICULT,Fountain Hills,0.813612565,4.2,,445,458,3,7,2387,1998,Unknown,Allowed
spent spade,0.6,INTERMEDIATE,Buckeye,0.812565445,4.3,West Valley Trail Alliance,0,62,2,6,1128,1065,Leashed,Unknown
anasazi loop,1.3,EASY,Flagstaff,0.811518325,4.2,Flagstaff Biking Organization,20,62,1,3,6805,6760,Unknown,Unknown
sunrise trail,4.4,DIFFICULT,Fountain Hills,0.810471204,3.8,Maricopa County Parks,1120,952,9,30,2850,1774,Leashed,Not Allowed
thunder mountain,1.9,DIFFICULT,West Sedona,0.809424084,3.9,Verde Valley Cyclists Coalition,286,240,5,25,4796,4580,Unknown,Unknown
hermit road greenway,2.5,EASY,Grand Canyon Village,0.808376963,4.2,,76,159,2,7,6820,6726,Unknown,Unknown
window rock loop,1.2,EASY/INTERMEDIATE,Catalina,0.807329843,4.2,,26,85,2,4,3718,3653,Unknown,Unknown
branding iron trail,0.9,EASY/INTERMEDIATE,Carefree,0.806282723,4.2,City of Scottsdale,98,5,2,6,2996,2899,Unknown,Not Allowed
cone mountain trail,1.9,INTERMEDIATE,Carefree,0.805235602,4,City of Scottsdale,163,129,3,8,2700,2599,Leashed,Not Allowed
high desert trail,4.3,INTERMEDIATE,Carefree,0.804188482,4.2,,250,110,2,4,2928,2734,Leashed,Not Allowed
