trail_name,length,difficulty,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Rocky Tops,"4.6
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7000570/rocky-tops,"Moab, UT",#15,4.2 (67),Local Club:,http://www.mtbproject.com/trail/7000570,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,372',273',3%,10%,"5,274'","5,018'",Leashed,Not Allowed
Alaska,"3.8
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4159638/alaska,"Moab, UT",#16,4.4 (63),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,296',691',5%,14%,"5,314'","4,851'",Leashed,Unknown
North 40,"4.2
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/173729/north-40,"Moab, UT",#17,4.3 (63),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,424',415',4%,17%,"4,681'","4,509'",Leashed,Not Allowed
Rodeo,"9.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7026452/rodeo,"Moab, UT",#18,4.2 (64),,,,,533',561',2%,11%,"5,886'","5,603'",Leashed,Not Allowed
Great Escape,"3.3
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/195642/great-escape,"Moab, UT",#19,4.4 (57),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,52',458',3%,12%,"5,116'","4,677'",Leashed,Not Allowed
HyMasa Trail,"3.2
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/5271947/hymasa-trail,"Moab, UT",#20,4.3 (56),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,755',198',6%,15%,"4,703'","3,985'",Leashed,Not Allowed
Circle-O,"2.9
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/172967/circle-o,"Moab, UT",#21,3.9 (64),,,,,175',261',3%,12%,"4,684'","4,466'",Leashed,Not Allowed
Portal,"2.5
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/199734/portal,"Moab, UT",#22,3.9 (56),,,,,52',"1,100'",9%,66%,"5,033'","3,977'",Leashed,Unknown
Wasatch Over Wasatch,"9.4
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7009028/wasatch-over-wasatch,"Park City, UT",#23,4.2 (50),Wasatch Trails Alliance,https://www.mtbproject.com/club/7000063/wasatch-trails-alliance,Utah DNR - Wasatch Mountain State Park,http://stateparks.utah.gov/parks/wasatch-mountain/,437',"2,343'",6%,16%,"8,368'","6,199'",Leashed,Allowed
Gravitron,"1.9
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7014487/gravitron,"Moab, UT",#24,4.5 (48),,,,,66',356',4%,13%,"4,804'","4,479'",Leashed,Not Allowed
Bearclaw Poppy Trail,"4.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/4390750/bearclaw-poppy-trail,"Santa Clara, UT",#25,4.5 (47),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,133',460',3%,9%,"2,989'","2,576'",Unknown,Allowed
Green Canyon,"3.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7000660/green-canyon,"North Logan, UT",#26,4.4 (47),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,902',2',5%,16%,"6,134'","5,235'",Unknown,Allowed
Dead Ringer,"5.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7002171/dead-ringer,"Hurricane, UT",#27,4.4 (45),,,,,578',60',2%,7%,"4,295'","3,777'",Off-leash,Unknown
Deadman's Ridge,"3.3
    mi",DIFFICULT,https://www.mtbproject.com/trail/173108/deadmans-ridge,"Moab, UT",#28,4.2 (49),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,424',577',6%,27%,"4,810'","4,516'",Leashed,Not Allowed
Vertigo Downhill,"1.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7031918/vertigo-downhill,"Alpine, UT",#29,4.5 (41),,,,,9',545',7%,14%,"6,215'","5,670'",No Dogs,Allowed
Slickrock Practice Loop,"1.6
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/158218/slickrock-practice-loop,"Moab, UT",#30,4.3 (44),,,,,182',246',5%,9%,"4,652'","4,544'",Leashed,Allowed
Big Chief,"3.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/5086087/big-chief,"Moab, UT",#31,4.8 (36),Dead Horse Point State Park,http://www.stateparks.utah.gov/parks/dead-horse,,,199',138',2%,9%,"6,020'","5,928'",No Dogs,Allowed
Lava Flow,"1.8
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7013473/lava-flow,"Cedar City, UT",#32,4.6 (38),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - Cedar City,http://www.blm.gov/ut/st/en/fo/cedar_city.html,41',507',6%,13%,"6,530'","6,029'",Leashed,Unknown
Bobsled,"1.5
    mi",DIFFICULT,https://www.mtbproject.com/trail/968652/bobsled,"Salt Lake City, UT",#33,4.3 (42),,,,,39',879',11%,24%,"5,791'","4,932'",Unknown,Unknown
Providence Canyon,"2.8
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7000659/providence-canyon,"Providence, UT",#34,4.8 (32),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,"1,115'",0',8%,14%,"6,261'","5,146'",Unknown,Unknown
More Cowbell,"2.7
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7002172/more-cowbell,"Hurricane, UT",#35,4.6 (34),,,,,176',221',3%,11%,"4,296'","4,207'",Off-leash,Unknown
South Rim Trail,"5.5
    mi",DIFFICULT,https://www.mtbproject.com/trail/4207569/south-rim-trail,"Hurricane, UT",#36,4.7 (33),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,340',133',2%,10%,"5,401'","5,142'",Unknown,Unknown
Prospector,"7.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/4008462/prospector,"Washington, UT",#37,4.1 (43),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,291',443',2%,13%,"3,346'","3,100'",Unknown,Unknown
Mid Mountain Trail,"21.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/3588295/mid-mountain-trail,"Snyderville, UT",#38,4.3 (35),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,"1,753'","1,952'",3%,21%,"8,491'","7,859'",Unknown,Unknown
Goodwater Rim Trail,"14.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7016097/goodwater-rim-trail,"Ferron, UT",#39,4.6 (31),,,,,773',860',2%,29%,"6,244'","5,988'",Unknown,Unknown
Stump Hollow,"5.3
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7000653/stump-hollow,"Richmond, UT",#40,4.9 (25),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,"1,524'",244',6%,15%,"8,387'","6,948'",Unknown,Unknown
Suicidal Tendencies,"4.0
    mi",DIFFICULT,https://www.mtbproject.com/trail/7014589/suicidal-tendencies,"Santa Clara, UT",#41,4.5 (32),BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,,,617',534',5%,15%,"4,041'","3,442'",Unknown,Unknown
Lichen It,"2.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7012696/lichen-it,"Cedar City, UT",#42,4.5 (33),,,,,487',2',3%,13%,"6,490'","6,005'",Unknown,Unknown
Falcon Flow,"5.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7055266/falcon-flow,"Moab, UT",#43,4.7 (21),,,,,247',"1,003'",4%,16%,"5,865'","5,101'",Leashed,Not Allowed
Gold Bar Rim,"3.6
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/7014052/gold-bar-rim,"Moab, UT",#44,4.1 (37),,,,,82',547',3%,11%,"5,484'","5,007'",Leashed,Unknown
Chisholm Trail,"7.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7016124/chisholm-trail,"Moab, UT",#45,4.1 (37),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,627',278',2%,11%,"5,990'","5,473'",Leashed,Not Allowed
Levitate Downhill,"1.3
    mi",DIFFICULT,https://www.mtbproject.com/trail/7032919/levitate-downhill,"Alpine, UT",#46,4.6 (29),,,,,0',539',8%,27%,"6,214'","5,675'",No Dogs,Allowed
West Loop,"8.9
    mi",DIFFICULT,https://www.mtbproject.com/trail/7008664/west-loop,"Hurricane, UT",#47,4.9 (21),,,,,653',684',3%,24%,"5,830'","5,556'",Off-leash,Unknown
Big Lonely,"3.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7008118/big-lonely,"Moab, UT",#48,4.0 (41),,,,,54',289',2%,16%,"5,607'","5,365'",Leashed,Not Allowed
Mega Steps,"3.2
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/177021/mega-steps,"Moab, UT",#49,4.1 (37),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,668',179',5%,22%,"5,256'","4,715'",Leashed,Unknown
Armstrong,"4.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/3652919/armstrong,"Park City, UT",#50,4.3 (32),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,"1,259'",1',6%,13%,"8,221'","6,963'",Unknown,Unknown
Mustang Loop,"3.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7015572/mustang-loop,"Moab, UT",#51,4.3 (33),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,323',324',4%,10%,"5,980'","5,693'",Leashed,Not Allowed
Rockin' A,"1.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/174356/rockin-a,"Moab, UT",#52,3.9 (41),,,,,134',13',2%,9%,"4,766'","4,632'",No Dogs,Not Allowed
Barrel Roll,"5.6
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/3834712/barrel-roll,"Santa Clara, UT",#53,4.1 (37),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,459',463',3%,15%,"3,451'","3,156'",Unknown,Unknown
Western Rim,"6.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/5074408/western-rim,"Moab, UT",#54,4.7 (22),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Colorado - Grand Junction Field Office,http://www.blm.gov/co/st/en/fo/gjfo.html,204',660',3%,12%,"4,880'","4,425'",Leashed,Unknown
Pinecone,"3.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/3656663/pinecone,"Park City, UT",#55,4.7 (23),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,"1,393'",23',7%,22%,"9,809'","8,416'",Unknown,Unknown
Paradise Rim Trail,"1.2
    mi",DIFFICULT,https://www.mtbproject.com/trail/7013266/paradise-rim-trail,"Santa Clara, UT",#56,4.4 (29),BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,,,10',279',4%,15%,"3,313'","3,036'",Off-leash,Unknown
Barrel Trail,"2.4
    mi",DIFFICULT,https://www.mtbproject.com/trail/7033208/barrel-trail,"Santa Clara, UT",#57,4.4 (27),,,,,142',695',7%,20%,"3,327'","2,774'",Off-leash,Unknown
Sidewinder,"1.7
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4041102/sidewinder,"Santa Clara, UT",#58,4.4 (29),,,,,389',54',5%,13%,"3,646'","3,288'",Unknown,Unknown
Maple Hollow Downhill Trail,"1.9
    mi",DIFFICULT,https://www.mtbproject.com/trail/7016159/maple-hollow-downhill-trail,"Draper, UT",#59,4.5 (26),,,,,0',"1,010'",10%,26%,"6,149'","5,138'",No Dogs,Allowed
Slickrock Trail,"7.4
    mi",DIFFICULT,https://www.mtbproject.com/trail/7047869/slickrock-trail,"Moab, UT",#60,4.5 (25),,,,,550',600',3%,21%,"4,771'","4,466'",Leashed,Allowed
Mill Creek Pipeline,"7.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/1033636/mill-creek-pipeline,"Mount Olympus, UT",#61,3.6 (41),,,,,813',147',3%,15%,"6,638'","5,965'",Off-leash,Unknown
Secret Sauce,"2.5
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7038184/secret-sauce,"Washington, UT",#62,4.1 (31),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,Desert Canyons Development,http://www.desertcanyons.net/Trail_System.html,233',184',3%,7%,"2,946'","2,722'",Unknown,Unknown
Coney Island,"3.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7017364/coney-island,"Moab, UT",#63,3.9 (37),,,,,564',94',4%,12%,"5,605'","5,134'",Leashed,Not Allowed
Bartlett Wash Slickrock,"2.6
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/157019/bartlett-wash-slickrock,"Moab, UT",#64,4.4 (25),,,,,354',202',4%,21%,"4,993'","4,656'",No Dogs,Unknown
EZ,"1.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/173439/ez,"Moab, UT",#65,4.1 (33),,,,,118',30',2%,10%,"4,668'","4,581'",Leashed,Not Allowed
North Rim Trail,"1.8
    mi",DIFFICULT,https://www.mtbproject.com/trail/4208050/north-rim-trail,"Hurricane, UT",#66,4.5 (24),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,15',165',2%,3%,"5,355'","5,205'",Unknown,Unknown
Hidden Canyon,"1.8
    mi",DIFFICULT,https://www.mtbproject.com/trail/4218043/hidden-canyon,"Hurricane, UT",#67,4.7 (19),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,61',115',2%,7%,"5,329'","5,240'",Unknown,Unknown
Great Pyramid,"2.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/5085360/great-pyramid,"Moab, UT",#68,4.5 (24),Dead Horse Point State Park,http://www.stateparks.utah.gov/parks/dead-horse,,,197',127',3%,11%,"5,975'","5,829'",No Dogs,Not Allowed
Sidewinder,"1.3
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7003567/sidewinder,"Moab, UT",#69,4.1 (30),,,,,109',373',7%,19%,"4,605'","4,326'",Leashed,Not Allowed
Brim Trail,"6.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7005513/brim-trail,"Wolf Creek, UT",#70,4.4 (23),,,,,506',506',3%,12%,"8,604'","8,255'",Unknown,Unknown
Bowls and Ledges,"0.9
    mi",DIFFICULT,https://www.mtbproject.com/trail/4215794/bowls-and-ledges,"Hurricane, UT",#71,4.6 (20),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,2',61',1%,2%,"5,222'","5,161'",Unknown,Unknown
Pothole Arch,"1.9
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/171488/pothole-arch,"Moab, UT",#72,4.2 (26),Moab Trails Alliance,https://www.mtbproject.com/club/325553/moab-trails-alliance,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,50',321',4%,14%,"4,873'","4,567'",Leashed,Not Allowed
Blowhard Trail #32047,"7.0
    mi",DIFFICULT,https://www.mtbproject.com/trail/7005828/blowhard-trail-32047,"Cedar City, UT",#73,4.8 (13),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,USFS - Dixie National Forest Office,http://www.fs.usda.gov/dixie,292',"3,320'",10%,37%,"10,659'","7,599'",Unknown,Unknown
Whirlwind Loop,"2.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7015574/whirlwind-loop,"Moab, UT",#74,4.5 (21),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,239',242',4%,14%,"5,723'","5,529'",Leashed,Not Allowed
Pushing Tin Loop,"3.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7036264/pushing-tin-loop,"Washington, UT",#75,4.0 (30),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,Desert Canyons Development,http://www.desertcanyons.net/Trail_System.html,221',266',2%,10%,"2,870'","2,720'",Leashed,Unknown
7-Up,"9.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/200679/7-up,"Moab, UT",#76,3.6 (37),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,462',"1,366'",4%,14%,"5,796'","4,827'",Leashed,Not Allowed
Burro Pass Trail #315,"3.0
    mi",DIFFICULT,https://www.mtbproject.com/trail/216725/burro-pass-trail-315,"Moab, UT",#77,4.8 (12),,,,,678',"1,500'",14%,36%,"11,132'","9,649'",Leashed,Not Allowed
Claim Jumper Loop,"2.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7041731/claim-jumper-loop,"Washington, UT",#78,4.4 (21),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,Desert Canyons Development,http://www.desertcanyons.net/Trail_System.html,280',85',2%,8%,"2,916'","2,714'",Unknown,Unknown
Greens Lake Trail,"2.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7026455/greens-lake-trail,"Cedar City, UT",#79,4.7 (15),,,,,59',491',4%,12%,"6,977'","6,497'",Unknown,Unknown
Redhot,"0.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7021417/redhot,"Moab, UT",#80,4.3 (24),,,,,1',131',4%,7%,"4,593'","4,462'",Leashed,Not Allowed
UFO,"1.6
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/175883/ufo,"Moab, UT",#81,4.4 (21),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,221',222',5%,24%,"5,055'","4,930'",Leashed,Unknown
Arth's Corner,"3.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/196281/arths-corner,"Moab, UT",#82,4.1 (26),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,43',481',3%,16%,"5,130'","4,687'",Leashed,Not Allowed
Ann's Trail,"5.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7000515/anns-trail,"Alpine, UT",#83,3.9 (29),"City of Draper, UT - Parks and Trails",http://www.draper.ut.us/index.aspx?nid=116,,,369',797',4%,10%,"5,845'","5,416'",Leashed,Allowed
Homer,"0.8
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4167619/homer,"Moab, UT",#84,4.3 (21),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,3',238',6%,13%,"4,956'","4,722'",Leashed,Unknown
Jackson,"2.3
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/171406/jackson,"Moab, UT",#85,4.2 (22),,,,,30',646',5%,28%,"4,586'","3,966'",Leashed,Not Allowed
J-Boy,"2.6
    mi",DIFFICULT,https://www.mtbproject.com/trail/7005662/j-boy,"Vernal, UT",#86,4.8 (11),NUMB (Northeastern Utah Mountain Bikers),https://www.mtbproject.com/club/7000253/numb-northeastern-utah-mountain-bikers,BLM Utah - Vernal Office,http://www.blm.gov/ut/st/en/fo/vernal.html,301',309',4%,14%,"6,038'","5,855'",Unknown,Unknown
Kentucky Lucky Chicken,"3.8
    mi",DIFFICULT,https://www.mtbproject.com/trail/7021901/kentucky-lucky-chicken,"Saint George, UT",#87,4.1 (24),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,,,330',335',3%,14%,"3,091'","2,795'",Off-leash,Unknown
Whiptail,"2.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/5087439/whiptail,"Moab, UT",#88,4.8 (12),Dead Horse Point State Park,http://www.stateparks.utah.gov/parks/dead-horse,,,76',112',1%,5%,"5,964'","5,872'",No Dogs,Allowed
Tidal Wave,"2.9
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7039017/tidal-wave,"Park City, UT",#89,5.0 (6),,,,,11',"1,138'",8%,28%,"9,260'","8,134'",Unknown,Unknown
Jimmy Keen,"7.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7003302/jimmy-keen,"Moab, UT",#90,2.9 (47),,,,,265',815',3%,12%,"8,331'","7,698'",Leashed,Not Allowed
EKG,"5.2
    mi",DIFFICULT,https://www.mtbproject.com/trail/176251/ekg,"Moab, UT",#91,3.7 (32),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,370',553',3%,8%,"4,850'","4,642'",Leashed,Not Allowed
Prickly,"2.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/5088721/prickly,"Moab, UT",#92,4.4 (18),Dead Horse Point State Park,http://www.stateparks.utah.gov/parks/dead-horse,,,138',129',2%,6%,"5,913'","5,836'",No Dogs,Allowed
Paradox Trail,"124.3
    mi",DIFFICULT,https://www.mtbproject.com/trail/7000957/paradox-trail,"Moab, UT",#93,5.0 (3),,,,,"13,195'","11,342'",4%,33%,"9,909'","4,788'",Unknown,Allowed
Lost World,"0.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7013560/lost-world,"Enoch, UT",#94,4.9 (9),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - Cedar City,http://www.blm.gov/ut/st/en/fo/cedar_city.html,12',100',3%,7%,"5,932'","5,841'",Unknown,Unknown
