trail_name,length,difficulty,longitude,latitude,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Hog Heaven,"1.1
    mi",DIFFICULT,34.837921,-111.75732,https://www.mtbproject.com/trail/7000537/hog-heaven,"Sedona, AZ",#11,4.5 (41),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,116',233',6%,27%,"4,565'","4,366'",Unknown,Unknown
Llama Trail,"2.9
    mi",INTERMEDIATE/DIFFICULT,34.80534,-111.761794,https://www.mtbproject.com/trail/4923530/llama-trail,"Village of Oak Creek (Big Park), AZ",#12,4.2 (44),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,206',268',3%,13%,"4,448'","4,318'",Unknown,Unknown
Sport Loop,"3.0
    mi",INTERMEDIATE,33.669202,-111.702101,https://www.mtbproject.com/trail/5121292/sport-loop,"Fountain Hills, AZ",#13,4.5 (36),,,,,198',200',3%,5%,"1,780'","1,620'",Unknown,Allowed
Templeton Trail,"3.4
    mi",INTERMEDIATE/DIFFICULT,34.808976,-111.764812,https://www.mtbproject.com/trail/594263/templeton-trail,"Village of Oak Creek (Big Park), AZ",#14,4.0 (43),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,84',400',3%,21%,"4,296'","3,976'",Unknown,Unknown
Adobe Jack,"2.0
    mi",INTERMEDIATE,34.885891,-111.782006,https://www.mtbproject.com/trail/4920585/adobe-jack,"Sedona, AZ",#15,4.0 (42),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,109',240',3%,10%,"4,494'","4,341'",Unknown,Unknown
Bunny Loop,"4.5
    mi",EASY,32.119256,-110.78917,https://www.mtbproject.com/trail/7001452/bunny-loop,"Vail, AZ",#16,4.0 (42),,,,,77',82',1%,3%,"2,920'","2,871'",Unknown,Unknown
Cockscomb,"3.6
    mi",INTERMEDIATE,34.885633,-111.86996,https://www.mtbproject.com/trail/1015685/cockscomb,"West Sedona, AZ",#17,4.4 (35),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,296',280',3%,12%,"4,648'","4,511'",Unknown,Not Allowed
Hangover Trail,"3.2
    mi",VERY DIFFICULT,34.87766,-111.716833,https://www.mtbproject.com/trail/4941561/hangover-trail,"Sedona, AZ",#18,4.9 (20),,,,,244',753',6%,36%,"5,224'","4,673'",Unknown,Unknown
Broken Arrow Trail,"1.5
    mi",DIFFICULT,34.84536,-111.756602,https://www.mtbproject.com/trail/4915610/broken-arrow-trail,"Sedona, AZ",#19,4.4 (33),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,350',64',5%,20%,"4,618'","4,282'",Unknown,Unknown
Aerie,"2.9
    mi",INTERMEDIATE,34.907634,-111.849101,https://www.mtbproject.com/trail/1015551/aerie,"West Sedona, AZ",#20,4.5 (29),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,262',223',3%,12%,"4,727'","4,524'",Unknown,Unknown
National Trail,"13.8
    mi",DIFFICULT,33.330335,-112.144162,https://www.mtbproject.com/trail/7020562/national-trail,"Laveen, AZ",#21,4.8 (18),,,,,"1,961'","1,729'",5%,35%,"2,465'","1,259'",Leashed,Allowed
High on the Hog,"0.3
    mi",DIFFICULT,34.834876,-111.753601,https://www.mtbproject.com/trail/7000535/high-on-the-hog,"Sedona, AZ",#22,4.4 (27),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,29',96',7%,18%,"4,587'","4,491'",Unknown,Unknown
Pigtail,"0.6
    mi",DIFFICULT,34.837493,-111.771451,https://www.mtbproject.com/trail/4916526/pigtail,"Sedona, AZ",#23,4.7 (22),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,45',137',6%,11%,"4,379'","4,242'",Unknown,Unknown
Arizona Trail (Aspen Corner to FR 418),"7.0
    mi",INTERMEDIATE,35.322299,-111.720525,https://www.mtbproject.com/trail/937006/arizona-trail-aspen-corner-to-fr-418,"Flagstaff, AZ",#24,4.7 (19),USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,,,291',857',3%,9%,"9,014'","8,280'",Leashed,Unknown
Sidewinder Trail,"7.1
    mi",INTERMEDIATE/DIFFICULT,33.797847,-112.085197,https://www.mtbproject.com/trail/6429777/sidewinder-trail,"Anthem, AZ",#25,4.1 (33),,,,,683',806',4%,16%,"2,082'","1,739'",Leashed,Unknown
Sonoran Loop Competitive Track - Outer Loop,"7.1
    mi",INTERMEDIATE,33.60881,-112.50091,https://www.mtbproject.com/trail/7001277/sonoran-loop-competitive-track-outer-loop,"Citrus Park, AZ",#26,4.2 (29),,,,,518',520',3%,15%,"1,720'","1,491'",Leashed,Allowed
Long Loop,"8.0
    mi",INTERMEDIATE,33.667027,-111.69902,https://www.mtbproject.com/trail/5121460/long-loop,"Fountain Hills, AZ",#27,4.0 (33),,,,,457',450',2%,10%,"1,751'","1,560'",Unknown,Allowed
Schultz Creek Trail,"4.2
    mi",INTERMEDIATE,35.244833,-111.66138,https://www.mtbproject.com/trail/833543/schultz-creek-trail,"Flagstaff, AZ",#28,4.3 (24),Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,873',1',4%,14%,"8,071'","7,198'",Unknown,Unknown
Little Horse Trail,"1.5
    mi",INTERMEDIATE/DIFFICULT,34.829368,-111.754554,https://www.mtbproject.com/trail/4915693/little-horse-trail,"Sedona, AZ",#29,4.1 (31),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,22',349',5%,12%,"4,569'","4,225'",Unknown,Not Allowed
Hog Wash Trail,"1.3
    mi",DIFFICULT,34.839565,-111.767921,https://www.mtbproject.com/trail/7013468/hog-wash-trail,"Sedona, AZ",#30,4.1 (30),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,90',138',3%,15%,"4,403'","4,311'",Unknown,Unknown
Geronimo Trail,"1.9
    mi",DIFFICULT,33.343252,-112.044332,https://www.mtbproject.com/trail/4865778/geronimo-trail,"Guadalupe, AZ",#31,4.9 (14),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,0',"1,026'",10%,31%,"2,328'","1,302'",Unknown,Allowed
Canyon of Fools,"1.2
    mi",INTERMEDIATE/DIFFICULT,34.905446,-111.839355,https://www.mtbproject.com/trail/7011194/canyon-of-fools,"West Sedona, AZ",#32,4.4 (24),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,78',256',5%,13%,"4,641'","4,463'",Unknown,Unknown
Hawknest Trail,"11.6
    mi",EASY/INTERMEDIATE,33.806805,-111.787135,https://www.mtbproject.com/trail/7009302/hawknest-trail,"Carefree, AZ",#33,4.5 (21),City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,362',662',2%,5%,"2,957'","2,388'",Leashed,Not Allowed
Sunset,"4.7
    mi",DIFFICULT,35.284697,-111.631475,https://www.mtbproject.com/trail/978181/sunset,"Flagstaff, AZ",#34,4.6 (18),Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,"1,488'",486',8%,50%,"9,140'","8,058'",Unknown,Unknown
Technical Loop,"2.7
    mi",DIFFICULT,33.669015,-111.701921,https://www.mtbproject.com/trail/5121383/technical-loop,"Fountain Hills, AZ",#35,4.4 (23),,,,,273',285',4%,11%,"1,816'","1,618'",No Dogs,Allowed
Grand Central,"1.8
    mi",INTERMEDIATE/DIFFICULT,34.867231,-111.76872,https://www.mtbproject.com/trail/4920687/grand-central,"Sedona, AZ",#36,4.3 (24),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,400',188',6%,21%,"4,642'","4,242'",Unknown,Unknown
Cathedral Rock Connector Trail,"0.3
    mi",DIFFICULT,34.821153,-111.78895,https://www.mtbproject.com/trail/4933774/cathedral-rock-connector-trail,"West Sedona, AZ",#37,4.7 (15),,,,,0',107',7%,23%,"4,153'","4,045'",Unknown,Unknown
Rail X Ranch / Honeybee Canyon Loop,"13.7
    mi",INTERMEDIATE,32.475746,-110.960497,https://www.mtbproject.com/trail/7012708/rail-x-ranch-honeybee-canyon-loop,"Catalina, AZ",#38,4.4 (17),,,,,729',725',2%,9%,"3,660'","3,061'",Unknown,Unknown
TRW Trail,"2.0
    mi",EASY/INTERMEDIATE,33.502995,-111.684153,https://www.mtbproject.com/trail/7022869/trw-trail,"Fountain Hills, AZ",#39,4.5 (16),USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,76',161',2%,6%,"1,508'","1,362'",Unknown,Unknown
Upper 50-Year Trail,"1.0
    mi",DIFFICULT,32.501221,-110.859652,https://www.mtbproject.com/trail/7017453/upper-50-year-trail,"Catalina, AZ",#40,4.8 (10),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,,,90',308',7%,24%,"3,611'","3,320'",Off-leash,Unknown
La Milagrosa,"4.4
    mi",DIFFICULT,32.324856,-110.668805,https://www.mtbproject.com/trail/306975/la-milagrosa,"Tanque Verde, AZ",#41,4.3 (20),Tucson Off Road Cyclists & Activists (TORCA),https://www.mtbproject.com/club/7000193/tucson-off-road-cyclists-activists-torca,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,213',"1,381'",7%,23%,"4,029'","2,809'",Leashed,Not Allowed
Baldwin Loop,"2.1
    mi",INTERMEDIATE/DIFFICULT,34.822517,-111.799667,https://www.mtbproject.com/trail/600453/baldwin-loop,"West Sedona, AZ",#42,3.8 (30),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,245',236',4%,16%,"4,126'","3,959'",Unknown,Unknown
Badlands Trail,"6.7
    mi",INTERMEDIATE,32.528302,-111.007497,https://www.mtbproject.com/trail/7007557/badlands-trail,"Catalina, AZ",#43,4.4 (12),,,,,318',307',2%,6%,"3,736'","3,546'",Unknown,Unknown
South Loop,"3.4
    mi",EASY/INTERMEDIATE,32.024979,-110.563073,https://www.mtbproject.com/trail/7041928/south-loop,"Mescal, AZ",#44,4.4 (17),,,,,188',249',2%,7%,"3,887'","3,764'",No Dogs,Unknown
Horton Creek Trail,"3.5
    mi",INTERMEDIATE/DIFFICULT,34.339907,-111.09616,https://www.mtbproject.com/trail/7017424/horton-creek-trail,"Star Valley, AZ",#45,5.0 (5),,,,,"1,214'",9',7%,29%,"6,646'","5,436'",Off-leash,Unknown
Granite Mountain Loop Trail,"4.6
    mi",INTERMEDIATE,33.770058,-111.798436,https://www.mtbproject.com/trail/7012695/granite-mountain-loop-trail,"Rio Verde, AZ",#46,4.5 (15),City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,356',305',3%,8%,"2,935'","2,670'",Unknown,Not Allowed
Made in the Shade,"1.3
    mi",DIFFICULT,34.80087,-111.770076,https://www.mtbproject.com/trail/4932620/made-in-the-shade,"Village of Oak Creek (Big Park), AZ",#47,3.8 (29),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,166',305',7%,18%,"4,540'","4,259'",Unknown,Unknown
Goldwater Lakes Trail #396,"4.6
    mi",INTERMEDIATE,34.505589,-112.478075,https://www.mtbproject.com/trail/4422817/goldwater-lakes-trail-396,"Prescott, AZ",#48,4.1 (21),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,872',338',5%,12%,"6,164'","5,630'",Unknown,Unknown
Firewater Trail #325,"1.1
    mi",INTERMEDIATE,34.558724,-112.526305,https://www.mtbproject.com/trail/7018140/firewater-trail-325,"Prescott, AZ",#49,5.0 (4),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,0',244',4%,10%,"5,911'","5,667'",Unknown,Unknown
The Chutes,"1.4
    mi",INTERMEDIATE/DIFFICULT,32.494076,-110.867719,https://www.mtbproject.com/trail/4743176/the-chutes,"Catalina, AZ",#50,4.1 (21),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,AZ State Land Department,http://www.azland.gov/,160',163',4%,9%,"3,289'","3,127'",Unknown,Unknown
Bell Rock Trail,"3.5
    mi",EASY/INTERMEDIATE,34.824361,-111.775475,https://www.mtbproject.com/trail/4915849/bell-rock-trail,"Village of Oak Creek (Big Park), AZ",#51,3.5 (32),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,200',297',3%,6%,"4,386'","4,173'",Unknown,Unknown
Secret Trail,"0.9
    mi",INTERMEDIATE,33.334756,-112.026761,https://www.mtbproject.com/trail/3589571/secret-trail,"Guadalupe, AZ",#52,4.4 (17),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,21',97',3%,7%,"1,523'","1,431'",Unknown,Allowed
Ranch Trail #62,"9.5
    mi",INTERMEDIATE,34.495069,-112.439276,https://www.mtbproject.com/trail/7000300/ranch-trail-62,"Prescott, AZ",#53,4.7 (9),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,592',"1,164'",3%,13%,"6,556'","5,603'",Unknown,Unknown
Inner Basin Trail,"1.7
    mi",INTERMEDIATE/DIFFICULT,35.346285,-111.639219,https://www.mtbproject.com/trail/7000138/inner-basin-trail,"Flagstaff, AZ",#54,5.0 (4),Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,0',718',8%,21%,"9,373'","8,654'",Unknown,Unknown
Peavine Trail,"5.4
    mi",EASY,34.575456,-112.42732,https://www.mtbproject.com/trail/7001406/peavine-trail,"Prescott, AZ",#55,4.5 (13),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,,,46',252',1%,3%,"5,204'","4,986'",Leashed,Unknown
Los Burros Shortcut,"2.0
    mi",INTERMEDIATE,34.137776,-109.74787,https://www.mtbproject.com/trail/7016114/los-burros-shortcut,"Pinetop-Lakeside, AZ",#56,5.0 (4),Pinetop-Lakeside TRACKS,https://www.mtbproject.com/club/1027178/pinetop-lakeside-tracks,USFS - Apache & Sitgreaves National Forests Office,http://www.fs.usda.gov/asnf,47',356',4%,17%,"8,161'","7,851'",Unknown,Unknown
Cherum Peak Trail,"2.6
    mi",DIFFICULT,35.415637,-114.150271,https://www.mtbproject.com/trail/7014529/cherum-peak-trail,"New Kingman-Butler, AZ",#57,5.0 (4),,,,,"1,100'",169',9%,26%,"6,915'","5,858'",Unknown,Allowed
#305 Homestead Trail,"6.6
    mi",INTERMEDIATE/DIFFICULT,34.540197,-112.3979,https://www.mtbproject.com/trail/4417144/305-homestead-trail,"Prescott, AZ",#58,4.1 (21),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,978',506',4%,16%,"6,056'","5,473'",Unknown,Unknown
Ocotillo Trail,"6.3
    mi",INTERMEDIATE,33.768669,-112.043964,https://www.mtbproject.com/trail/7011741/ocotillo-trail,"Cave Creek, AZ",#59,4.1 (21),,,,,448',322',2%,10%,"1,919'","1,701'",Leashed,Unknown
Javelina,"1.3
    mi",INTERMEDIATE/DIFFICULT,34.881352,-111.771011,https://www.mtbproject.com/trail/4920153/javelina,"Sedona, AZ",#60,4.2 (20),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,32',333',6%,14%,"4,542'","4,241'",Unknown,Unknown
Molino Basin,"2.5
    mi",INTERMEDIATE/DIFFICULT,32.336052,-110.719919,https://www.mtbproject.com/trail/305799/molino-basin,"Tanque Verde, AZ",#61,4.0 (22),Tucson Off Road Cyclists & Activists (TORCA),https://www.mtbproject.com/club/7000193/tucson-off-road-cyclists-activists-torca,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,169',676',6%,25%,"4,913'","4,320'",Unknown,Unknown
Burro Pit Loop,"2.4
    mi",INTERMEDIATE,32.155867,-110.778121,https://www.mtbproject.com/trail/7056286/burro-pit-loop,"Tanque Verde, AZ",#62,5.0 (3),,,,,66',98',1%,7%,"2,832'","2,801'",Unknown,Not Allowed
Ridge Trail #59,"1.9
    mi",INTERMEDIATE,33.50247,-111.665054,https://www.mtbproject.com/trail/666198/ridge-trail-59,"Fountain Hills, AZ",#63,4.4 (15),USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,70',377',4%,10%,"1,739'","1,373'",Unknown,Unknown
Latigo Trail,"2.0
    mi",EASY,33.758176,-111.843289,https://www.mtbproject.com/trail/7009162/latigo-trail,"Carefree, AZ",#64,4.8 (8),City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,107',133',2%,7%,"2,837'","2,706'",Leashed,Not Allowed
Quartz Trail,"1.4
    mi",INTERMEDIATE,33.837425,-111.986247,https://www.mtbproject.com/trail/647570/quartz-trail,"Cave Creek, AZ",#65,4.8 (6),,,,,70',299',5%,9%,"2,407'","2,114'",Unknown,Allowed
Soldier's Trail,"5.2
    mi",INTERMEDIATE,35.139736,-111.687791,https://www.mtbproject.com/trail/7016899/soldiers-trail,"Kachina Village, AZ",#66,3.8 (26),Coconino County and the City of Flagstaff,http://www.flagstaff.az.gov/index.aspx?NID=1379,,,306',310',2%,8%,"7,129'","6,955'",Unknown,Unknown
Badger Trail,"3.3
    mi",DIFFICULT,35.225397,-114.129097,https://www.mtbproject.com/trail/926183/badger-trail,"Golden Valley, AZ",#67,4.7 (9),Colorado River Area Trail Alliance,https://www.mtbproject.com/club/4044379/colorado-river-area-trail-alliance,BLM Arizona - Kingman Field Office,http://www.blm.gov/az/st/en/fo/kingman_field_office.html,"1,042'",4',6%,11%,"4,485'","3,446'",Unknown,Unknown
Dixie Mountain Loop,"4.0
    mi",INTERMEDIATE,33.744881,-112.092994,https://www.mtbproject.com/trail/4905656/dixie-mountain-loop,"Anthem, AZ",#68,4.5 (12),Cave Creek Bicycle Association,https://www.mtbproject.com/club/31765/cave-creek-bicycle-association,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,543',540',5%,18%,"2,047'","1,654'",Leashed,Unknown
Explorer Trail,"4.7
    mi",DIFFICULT,32.182587,-111.015653,https://www.mtbproject.com/trail/6358612/explorer-trail,"Drexel Heights, AZ",#69,4.0 (21),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,671',408',4%,19%,"2,968'","2,497'",Unknown,Unknown
Ridgeback Trail,"1.8
    mi",INTERMEDIATE/DIFFICULT,33.782654,-112.059577,https://www.mtbproject.com/trail/6425835/ridgeback-trail,"Cave Creek, AZ",#70,4.6 (10),Cave Creek Bicycle Association,https://www.mtbproject.com/club/31765/cave-creek-bicycle-association,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,278',329',6%,21%,"2,110'","1,812'",Unknown,Unknown
Sierra Prieta Trail #366,"0.9
    mi",INTERMEDIATE,34.504878,-112.555644,https://www.mtbproject.com/trail/7011265/sierra-prieta-trail-366,"Prescott, AZ",#71,5.0 (2),USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,,,52',170',5%,13%,"7,007'","6,837'",Leashed,Unknown
Hi Top,"1.1
    mi",DIFFICULT,32.765461,-114.46434,https://www.mtbproject.com/trail/7025115/hi-top,"Fortuna Foothills, AZ",#72,5.0 (2),Desert Mountain Bikers of Yuma,https://www.mtbproject.com/club/7000176/desert-mountain-bikers-of-yuma,BLM Arizona - Yuma Field Office,http://www.blm.gov/az/st/en/prog/recreation/hiking/betty_kitch.html,84',56',2%,10%,527',473',Unknown,Unknown
Naked Man Trail,"0.6
    mi",INTERMEDIATE,34.436293,-114.258086,https://www.mtbproject.com/trail/7015618/naked-man-trail,"Lake Havasu City, AZ",#73,5.0 (2),BLM Lake Havasu Field Office,http://www.blm.gov/az/st/en/fo/lake_havasu_field.html,,,38',56',3%,6%,852',798',Off-leash,Unknown
AZT: Segment 7 - Antelope Peak and Boulders Segment,"43.9
    mi",INTERMEDIATE/DIFFICULT,32.631914,-110.7397,https://www.mtbproject.com/trail/7025879/azt-segment-7-antelope-peak-and-boulders-segment,"Oracle, AZ",#74,5.0 (1),Arizona Trail Association,http://www.aztrail.org/,,,"4,450'","5,177'",4%,23%,"4,211'","2,793'",Leashed,Unknown
Jordan Trail,"1.6
    mi",INTERMEDIATE/DIFFICULT,34.884602,-111.764714,https://www.mtbproject.com/trail/4920426/jordan-trail,"Sedona, AZ",#75,4.0 (21),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,174',197',4%,11%,"4,583'","4,445'",Unknown,Unknown
Yuma Bike Path (Colorado River Levee Multi-use Path),"8.6
    mi",EASY,32.717413,-114.598871,https://www.mtbproject.com/trail/7053977/yuma-bike-path-colorado-river-levee-multi-use-path,"Yuma, AZ",#76,5.0 (1),,,,,107',112',0%,4%,161',121',Leashed,Allowed
#9415 Wolverton Mountain Trail,"5.0
    mi",INTERMEDIATE/DIFFICULT,34.505611,-112.478982,https://www.mtbproject.com/trail/4437869/9415-wolverton-mountain-trail,"Prescott, AZ",#77,4.5 (10),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,"1,117'",235',5%,14%,"6,685'","5,620'",Unknown,Unknown
